Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Mick Abel,23.273,May 18,,/1,PHI,-0.2,6-5,190,R,R,"Aug 18, 2001","Portland, OR, US","Drafted by thePhiladelphia Philliesin the1st round(15th pick) of the 2020 amateur draft. Player signed June 24, 2020.",,"Jesuit HS (Beaverton, OR)",McLean Stine,abelmi01
2,Philip Abner,23.137,Sep 19,,/1,ARI,0.0,6-1,230,L,L,"May 5, 2002","Charlotte, NC, US","Drafted by theArizona Diamondbacksin the6th roundof the 2023 amateur draft. Player signed July 17, 2023.","University of Florida (Gainesville, FL)","Charlotte Christian HS (Charlotte, NC)",Philip James,abnerph01
3,Maximo Acosta,22.293,Aug 18,,5/46,MIA,0.0,5-11,187,R,R,"Oct 29, 2002","Caracas, Distrito Federal, VE",Signed as a Free Agent with theTexas Rangersin 2019.,,,Maximo Douglas Jose,acostma02
4,Travis Adams,25.167,Jul 5,,1,MIN,-0.9,6-1,197,R,R,"Jan 19, 2000","Palm Springs, CA, US","Drafted by theMinnesota Twinsin the6th roundof the 2021 amateur draft. Player signed July 21, 2021.","California State University, Sacramento (Sacramento, CA)",,Travis Michael,adamstr01
5,Zach Agnos,24.248,Apr 20,,1,COL,-0.4,6-0,210,R,R,"Aug 15, 2000","Haymarket, VA, US","Drafted by theColorado Rockiesin the10th roundof the 2022 amateur draft. Player signed July 25, 2022.","East Carolina University (Greenville, NC)","Battlefield HS (Haymarket, VA)",Zachary George,agnosza01
6,Elvis Alvarado,26.075,May 9,,1,ATH,0.7,6-4,183,R,R,"Feb 23, 1999","Sabaneta, Santiago Rodriguez, DO",Signed as a Free Agent with theWashington Nationalsin 2015.,,,Elvis Ernesto,alvarel01
7,Andrew Alvarez,26.080,Sep 1,,/1,WSN,0.7,6-3,215,L,L,"Jun 13, 1999","Anaheim, CA, US","Drafted by theWashington Nationalsin the12th roundof the 2021 amateur draft. Player signed August 16, 2021.","California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)","Los Alamitos HS (Los Alamitos, CA)",Michael Andrew,alvaran01
8,Roman Anthony,21.027,Jun 9,,97D/H,BOS,3.1,6-3,200,L,R,"May 13, 2004","West Palm Beach, FL, US","Drafted by theBoston Red Soxin the2nd roundof the 2022 amateur draft. Player signed July 29, 2022.",,"Marjory Stoneman Douglas HS (Parkland, FL)",Roman Joseph,anthoro01
9,Luarbert Arias,24.109,Mar 31,,/1,MIA,-0.4,6-2,176,R,R,"Dec 12, 2000","Maracay, Aragua, VE",Signed as a Free Agent with theSan Diego Padresin 2017.,,,Luarbert Elias,ariaslu01
10,Braxton Ashcraft,25.233,May 26,,1,PIT,2.0,6-5,220,L,R,"Oct 5, 1999","Waco, TX, US","Drafted by thePittsburgh Piratesin the2nd roundof the 2018 amateur draft. Player signed June 22, 2018.",,"Robinson HS (Robinson, TX)",Braxton,ashcrbr01
