Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Jon Adkins,25.349,Aug 14,Sep 27 2008,/1,CHW,0.4,6-0,200,L,R,Aug 30 1977,Huntington WV US,Drafted by the Oakland Athletics in the 9th round of the 1998 amateur draft. Player signed June 27 1998.,Oklahoma State University (Stillwater OK),Wayne HS (Wayne WV),Jonathan Scott,adkinjo01
2,Edwin Almonte,26.202,Jul 7,Sep 10 2003,1,NYM,-0.6,6-3,200,R,R,Dec 17 1976,Santiago Santiago DO,Drafted by the Chicago White Sox in the 26th round of the 1998 amateur draft. Player signed June 6 1998.,St. Francis University (Brooklyn NY),Seward Park HS (New York NY),Edwin,almoned01
3,Jason Anderson,23.295,Mar 31,Jul 15 2005,1,NYY,-0.1,6-0,188,L,R,Jun 9 1979,Danville IL US,Drafted by the New York Yankees in the 10th round of the 2000 amateur draft. Player signed June 13 2000.,University of Illinois at Urbana-Champaign (Champaign IL),Danville HS (Danville IL),Jason Roger,anderja01
4,Garrett Atkins,23.234,Aug 3,Jun 25 2010,5/H,COL,4.0,6-2,190,R,R,Dec 12 1979,Orange CA US,Drafted by the Colorado Rockies in the 5th round of the 2000 amateur draft. Player signed June 22 2000.,University of California Los Angeles (Los Angeles CA),University HS (Irvine CA),Garrett Bernard,atkinga01
5,Luis Ayala,25.078,Mar 31,Sep 29 2013,1,MON,8.1,6-2,205,R,R,Jan 12 1978,Los Mochis Sinaloa MX,,,Los Mochis (Los Mochis Mexico),Luis Ignacio,ayalalu01
6,Rocco Baldelli,21.187,Mar 31,Oct 3 2010,*8/HD,TBD,10.2,6-4,190,R,R,Sep 25 1981,Woonsocket RI US,Drafted by the Tampa Bay Devil Rays in the 1st round (6th pick) of the 2000 amateur draft. Player signed June 19 2000.,,Bishop Hendricken HS (Warwick RI),Rocco Dan,baldero01
7,Clint Barmes,24.183,Sep 5,Oct 4 2015,6/H,COL,15.0,6-1,200,R,R,Mar 6 1979,Vincennes IN US,Drafted by the Colorado Rockies in the 10th round of the 2000 amateur draft. Player signed June 9 2000.,Olney Central College (Olney IL) Indiana State University (Terre Haute IN),Lincoln HS (Vincennes IN),Clint Harold,barmecl01
8,Jason Bay,24.245,May 23,Jul 26 2013,/8,SDP,24.8,6-2,210,R,R,Sep 20 1978,Trail BC CA,Drafted by the Montreal Expos in the 22nd round of the 2000 amateur draft. Player signed June 16 2000.,North Idaho College (Coeur d'Alene ID) Gonzaga University (Spokane WA),J. Lloyd Crow HS (Trail BC),Jason Raymond,bayja01
9,Matt Belisle,23.093,Sep 7,Sep 30 2018,/1,CIN,7.3,6-3,230,R,R,Jun 6 1980,Austin TX US,Drafted by the Atlanta Braves in the 2nd round of the 1998 amateur draft. Player signed August 23 1998.,,A. N. McCallum HS (Austin TX),Matthew Thomas,belisma01
10,Rafael Betancourt,28.075,Jul 13,Aug 22 2015,1,CLE,14.1,6-2,215,R,R,Apr 29 1975,Cumana Sucre VE,Signed by the Boston Red Sox as an amateur free agent in 1993.,,,Rafael Jose,betanra01
11,Nate Bland,28.129,May 5,Jun 27 2003,1,HOU,-0.2,6-5,190,L,L,Dec 27 1974,Birmingham AL US,Drafted by the Los Angeles Dodgers in the 4th round of the 1993 amateur draft. Player signed June 9 1993.,,Mountain Brook HS (Mountain Brook AL),Nathan Garrett,blandna01
12,Jeremy Bonderman,20.156,Apr 2,Sep 21 2013,1,DET,4.9,6-0,210,R,R,Oct 28 1982,Kennewick WA US,Drafted by the Oakland Athletics in the 1st round (26th pick) of the 2001 amateur draft. Player signed August 22 2001.,,Pasco HS (Pasco WA),Jeremy Allen,bondeje01
13,Chris Bootcheck,24.320,Sep 9,Jun 14 2013,/1,ANA,-1.6,6-5,210,R,R,Oct 24 1978,La Porte IN US,Drafted by the Anaheim Angels in the 1st round (20th pick) of the 2000 amateur draft. Player signed September 13 2000.,Auburn University (Auburn AL),La Porte HS (La Porte IN),Christopher Brandon,bootcch01
14,Rob Bowen,22.189,Sep 1,Sep 24 2008,/2H,MIN,-0.3,6-2,210,B,R,Feb 24 1981,Bedford TX US,Drafted by the Minnesota Twins in the 2nd round of the 1999 amateur draft. Player signed July 10 1999.,,Fort Wayne HS (Fort Wayne IN) Homestead HS (Fort Wayne IN),Robert McClure,bowenro01
15,Eric Bruntlett,25.090,Jun 27,Oct 4 2009,H6/4587,HOU,0.8,6-0,200,R,R,Mar 29 1978,Lafayette IN US,Drafted by the Houston Astros in the 9th round of the 2000 amateur draft. Player signed June 21 2000.,Stanford University (Palo Alto CA),Harrison HS (West Lafayette IN),Eric Kevin,brunter01
16,Mark Budzinski,29.342,Aug 3,Aug 8 2003,/H8,CIN,-0.1,6-2,180,L,L,Aug 26 1973,Baltimore MD US,Drafted by the Cleveland Indians in the 21st round of the 1995 amateur draft. Player signed June 3 1995.,University of Richmond (Richmond VA),Severna Park HS (Severna Park MD),Mark Joseph,budzima01
17,Nate Bump,26.339,Jun 28,Jul 16 2005,1,FLA,-0.7,6-2,195,L,R,Jul 24 1976,Towanda PA US,Drafted by the San Francisco Giants in the 1st round (25th pick) of the 1998 amateur draft. Player signed June 17 1998.,Pennsylvania State University (State College PA),Towanda HS (Towanda PA),Nathan Louis,bumpna01
18,Miguel Cabrera,20.063,Jun 20,Oct 1 2023,75/H,FLA,67.2,6-4,267,R,R,Apr 18 1983,Maracay Aragua VE,Signed by the Florida Marlins as an amateur free agent in 1999.,,Maracay (Maracay Venezuela),Jose Miguel,cabremi01
