Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Benny Agbayani,26.171,Jun 17,Sep 29 2002,/9H87,NYM,1.3,6-0,225,R,R,Dec 28 1971,Honolulu HI US,Drafted by the New York Mets in the 30th round of the 1993 amateur draft. Player signed June 15 1993.,Hawaii Pacific University (Honolulu HI),St. Louis School (Honolulu HI),Benny Peter,agbaybe01
2,Gabe Alvarez,24.108,Jun 22,Sep 30 2000,5/DH,DET,-1.4,6-1,185,R,R,Mar 6 1974,Navojoa Sonora MX,Drafted by the San Diego Padres in the 2nd round of the 1995 amateur draft. Player signed June 24 1995.,University of Southern California (Los Angeles CA),Bishop Amat Memorial HS (La Puente CA),Gabriel de Jesus,alvarga01
3,Marlon Anderson,24.245,Sep 8,Apr 10 2009,/4H,PHI,7.3,5-10,190,L,R,Jan 6 1974,Montgomery AL US,Drafted by the Philadelphia Phillies in the 2nd round of the 1995 amateur draft. Player signed June 3 1995.,University of South Alabama (Mobile AL),Prattville HS (Prattville AL),Marlon Ordell,anderma02
4,Matt Anderson,21.312,Jun 25,Jul 1 2005,1,DET,-0.6,6-4,200,R,R,Aug 17 1976,Louisville KY US,Drafted by the Detroit Tigers in the 1st round (1st pick) of the 1997 amateur draft. Player signed December 23 1997.,Rice University (Houston TX),St. Xavier HS (Louisville KY),Matthew Jason,anderma01
5,Rolando Arrojo,32.257,Apr 1,Sep 22 2002,1,TBD,9.4,6-4,215,R,R,Jul 18 1965,Santa Clara Villa Clara CU,Signed by the Tampa Bay Devil Rays as an amateur free agent in 1997.,,,Luis Rolando,arrojro01
6,Paul Bako,25.314,Apr 30,Oct 4 2009,2/H,DET,-1.3,6-2,205,L,R,Jun 20 1972,Lafayette LA US,Drafted by the Cincinnati Reds in the 5th round of the 1993 amateur draft. Player signed June 4 1993.,University of Louisiana at Lafayette (Lafayette LA),Lafayette HS (Lafayette LA),Gabor Paul,bakopa01
7,Jeff Ball,29.054,Jun 10,Jun 16 1998,/3H,SFG,-0.1,5-10,185,R,R,Apr 17 1969,Merced CA US,Drafted by the Houston Astros in the 12th round of the 1990 amateur draft. Player signed June 22 1990.,Merced College (Merced CA) San Jose State University (San Jose CA),Atwater HS (Atwater CA),Jeffery D.,ballje01
8,Travis Baptist,26.214,Aug 1,Sep 23 1998,1,MIN,0.1,6-0,195,L,L,Dec 30 1971,Forest Grove OR US,Drafted by the Toronto Blue Jays in the 45th round of the 1990 amateur draft. Player signed August 14 1990.,,Hillsboro HS (Hillsboro OR),Travis Steven,baptitr01
9,Brian Barkley,22.171,May 28,Sep 27 1998,/1,BOS,-0.5,6-2,180,L,L,Dec 8 1975,Conroe TX US,Drafted by the Boston Red Sox in the 5th round of the 1994 amateur draft. Player signed June 10 1994.,,Midway HS (Waco TX),Brian Edward,barklbr01
10,Michael Barrett,21.332,Sep 19,Apr 17 2009,/52H,MON,2.7,6-3,185,R,R,Oct 22 1976,Atlanta GA US,Drafted by the Montreal Expos in the 1st round (28th pick) of the 1995 amateur draft. Player signed June 9 1995.,,Pace Academy (Atlanta GA),Michael Patrick,barremi01
11,Justin Baughman,23.289,May 17,Sep 30 2000,4/H6D,ANA,-0.3,5-11,175,R,R,Aug 1 1974,Mountain View CA US,Drafted by the California Angels in the 5th round of the 1995 amateur draft. Player signed June 2 1995.,Lewis & Clark College (Portland OR),Bellarmine College Preparatory (San Jose CA),Justin Reis,baughju01
12,Ronnie Belliard,23.158,Sep 12,Sep 6 2010,/H4,MIL,20.8,5-9,210,R,R,Apr 7 1975,New York NY US,Drafted by the Milwaukee Brewers in the 8th round of the 1994 amateur draft. Player signed July 11 1994.,,Miami Central HS (Miami FL),Ronald,belliro01
13,Carlos Beltrán,21.143,Sep 14,Oct 1 2017,8,KCR,70.0,6-1,215,B,R,Apr 24 1977,Manati PR,Drafted by the Kansas City Royals in the 2nd round of the 1995 amateur draft. Player signed June 5 1995.,,Fernando Callejo HS (Manati Puerto Rico),Carlos Ivan,beltrca01
14,Adrian Beltré,19.078,Jun 24,Sep 30 2018,5/H6,LAD,93.7,5-11,220,R,R,Apr 7 1979,Santo Domingo Distrito Nacional DO,Signed by the Los Angeles Dodgers as an amateur free agent in 1994.,,Liceo Maximo Gomez (Santo Domingo Dominican Republic),Adrian,beltrad01
15,Joel Bennett,28.165,Jul 15,Jun 6 1999,/1,BAL,-0.5,6-1,160,R,R,Jan 31 1970,Binghamton NY US,Drafted by the Boston Red Sox in the 21st round of the 1991 amateur draft. Player signed June 5 1991.,East Stroudsburg University of Pennsylvania (East Stroudsburg PA),Windsor Central HS (Windsor NY),Joel Todd,bennejo02
16,Dave Berg,27.211,Apr 2,Sep 29 2004,45H6,FLA,1.1,5-11,185,R,R,Sep 3 1970,Roseville CA US,Drafted by the Florida Marlins in the 38th round of the 1993 amateur draft. Player signed June 12 1993.,Sacramento City College (Sacramento CA) University of Miami (Coral Gables FL),Roseville HS (Roseville CA),David Scott,bergda01
17,Chad Bradford,23.321,Aug 1,Sep 23 2009,1,CHW,10.1,6-5,205,R,R,Sep 14 1974,Jackson MS US,Drafted by the Chicago White Sox in the 13th round of the 1996 amateur draft. Player signed June 6 1996.,Hinds Community College (Raymond MS) University of Southern Mississippi (Hattiesburg MS),Byram HS (Jackson MS),Chadwick Lee,bradfch01
18,Ryan Bradley,22.300,Aug 22,Sep 23 1998,/1,NYY,-0.1,6-4,220,R,R,Oct 26 1975,Covina CA US,Drafted by the New York Yankees in the 1st round (40th pick) of the 1997 amateur draft. Player signed July 21 1997.,Arizona State University (Tempe AZ),Senator Ruben S. Ayala HS (Chino Hills CA),Ryan J.,bradlry01
19,Russell Branyan,22.281,Sep 26,Sep 26 2011,/5,CLE,11.2,6-4,235,L,R,Dec 19 1975,Warner Robins GA US,Drafted by the Cleveland Indians in the 7th round of the 1994 amateur draft. Player signed June 9 1994.,,Stratford Academy (Macon GA),Russell Oles,branyru01
20,Dee Brown,20.171,Sep 14,Sep 18 2007,/HD9,KCR,-2.9,6-0,235,L,R,Mar 27 1978,Bronx NY US,Drafted by the Kansas City Royals in the 1st round (14th pick) of the 1996 amateur draft. Player signed August 7 1996.,,Marlboro Central HS (Marlboro NY),Dermal Bram,brownde02
21,Mark Brownson,23.034,Jul 21,Jul 20 2000,/1,COL,0.5,6-2,175,L,R,Jun 17 1975,Lake Worth FL US,Drafted by the Colorado Rockies in the 30th round of the 1993 amateur draft. Player signed May 18 1994.,Palm Beach State College (Lake Worth FL),Wellington HS (Wellington FL),Marshall Phillip,brownma04
22,Will Brunson,28.093,Jun 21,Jul 9 1999,/1,LAD,0.0,6-4,185,L,L,Mar 20 1970,Irving TX US,Drafted by the Cincinnati Reds in the 21st round of the 1992 amateur draft. Player signed June 2 1992.,Eastfield College (Mesquite TX) Texas State University (San Marcos TX),DeSoto HS (DeSoto TX),William Donald,brunswi01
23,Mike Buddie,27.115,Apr 6,May 26 2002,1,NYY,-0.2,6-3,210,R,R,Dec 12 1970,Berea OH US,Drafted by the New York Yankees in the 4th round of the 1992 amateur draft. Player signed June 2 1992.,Wake Forest University (Winston-Salem NC),St. Ignatius HS (Cleveland OH),Michael Joseph,buddimi01
24,Kirk Bullinger,28.306,Aug 30,Sep 6 2004,/1,MON,-1.0,6-2,170,R,R,Oct 28 1969,New Orleans LA US,Drafted by the St. Louis Cardinals in the 32nd round of the 1992 amateur draft. Player signed June 4 1992.,Southeastern Louisiana University (Hammond LA),Archbishop Rummel HS (Metairie LA),Kirk Matthew,bulliki01
25,Adam Butler,24.226,Mar 31,Sep 13 1998,/1,ATL,-0.5,6-2,225,L,L,Aug 17 1973,Fairfax VA US,Signed by the Atlanta Braves as an amateur free agent in 1995.,College of William and Mary (Williamsburg VA),Lake Braddock SS (Burke VA),Adam Christopher,butlead01
