Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Fernando Abad,24.223,Jul 28,Jul 18 2023,1,HOU,3.2,6-2,235,L,L,Dec 17 1985,La Romana La Romana DO,Signed by the Houston Astros as an amateur free agent in 2002.,,,Fernando Antonio,abadfe01
2,Yonder Alonso,23.146,Sep 1,Sep 29 2019,H/3,CIN,8.6,6-1,230,L,R,Apr 8 1987,La Habana La Habana CU,Drafted by the Cincinnati Reds in the 1st round (7th pick) of the 2008 amateur draft. Player signed August 15 2008.,University of Miami (Coral Gables FL),Coral Gables HS (Coral Gables FL),Yonder,alonsyo01
3,Pedro Álvarez,23.130,Jun 16,Jun 15 2018,5/H,PIT,4.9,6-3,250,L,R,Feb 6 1987,Santo Domingo Distrito Nacional DO,Drafted by the Pittsburgh Pirates in the 1st round (2nd pick) of the 2008 amateur draft. Player signed September 24 2008.,Vanderbilt University (Nashville TN),Horace Mann School (Bronx NY),Pedro Manuel,alvarpe01
4,Héctor Ambriz,25.341,Apr 30,May 7 2014,1,CLE,-1.1,6-2,235,L,R,May 24 1984,Orange CA US,Drafted by the Arizona Diamondbacks in the 5th round of the 2006 amateur draft. Player signed June 9 2006.,University of California Los Angeles (Los Angeles CA),Valencia HS (Placentia CA),Héctor,ambrihe01
5,Bryan Anderson,23.120,Apr 15,Oct 4 2015,/2H,STL,-0.5,6-1,200,L,R,Dec 16 1986,Thousand Oaks CA US,Drafted by the St. Louis Cardinals in the 4th round of the 2005 amateur draft. Player signed June 23 2005.,,Simi Valley HS (Simi Valley CA),Bryan Douglas,anderbr05
6,Lars Anderson,22.346,Sep 6,May 1 2012,3/H,BOS,-0.3,6-4,215,L,L,Sep 25 1987,Oakland CA US,Drafted by the Boston Red Sox in the 18th round of the 2006 amateur draft. Player signed August 8 2006.,,Jesuit HS (Carmichael CA),Lars Eric,anderla03
7,J.P. Arencibia,24.214,Aug 7,Oct 1 2015,/2D,TOR,1.9,6-1,210,R,R,Jan 5 1986,Miami FL US,Drafted by the Toronto Blue Jays in the 1st round (21st pick) of the 2007 amateur draft. Player signed June 19 2007.,University of Tennessee (Knoxville TN),Westminster Christian School (Miami FL),Jonathan Paul,arencjp01
8,Jake Arrieta,24.096,Jun 10,Sep 19 2021,1,BAL,22.8,6-4,230,R,R,Mar 6 1986,Farmington MO US,Drafted by the Baltimore Orioles in the 5th round of the 2007 amateur draft. Player signed August 15 2007.,Texas Christian University (Fort Worth TX) Weatherford College (Weatherford TX),Plano East HS (Plano TX),Jacob Joseph,arrieja01
9,Luis Atilano,24.348,Apr 23,Jul 20 2010,1,WSN,-0.9,6-2,220,R,R,May 10 1985,Santurce PR,Drafted by the Atlanta Braves in the 1st round (35th pick) of the 2003 amateur draft. Player signed June 3 2003.,,Gabriela Mistral (Lares Puerto Rico) Gabriela Mistral HS (San Juan Puerto Rico),Luis A.,atilalu01
10,Darwin Barney,24.277,Aug 12,Oct 1 2017,64/H5,CHC,8.7,5-10,180,R,R,Nov 8 1985,Portland OR US,Drafted by the Chicago Cubs in the 4th round of the 2007 amateur draft. Player signed July 9 2007.,Oregon State University (Corvallis OR),Southridge HS (Beaverton OR),Darwin James Kunane,barneda01
