Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,David Adams,26.000,May 15,Sep 29 2013,5/43H,NYY,-0.4,6-2,205,R,R,May 15 1987,Margate FL US,Drafted by the New York Yankees in the 3rd round of the 2008 amateur draft. Player signed June 9 2008.,University of Virginia (Charlottesville VA),Grandview Preparatory School (Boca Raton FL),David Lee,adamsda02
2,Jim Adduci,28.109,Sep 1,Jun 1 2019,/7H3D,TEX,0.2,6-2,210,L,L,May 15 1985,Burnaby BC CA,Drafted by the Florida Marlins in the 42nd round of the 2003 amateur draft. Player signed August 19 2003.,,Evergreen Park Community HS (Evergreen Park IL),Jim Charles,adducji02
3,Ehire Adrianza,24.018,Sep 8,May 8 2024,/6H,SFG,1.0,6-1,198,B,R,Aug 21 1989,Guarenas Miranda VE,Signed by the San Francisco Giants as an amateur free agent in 2006.,,,Ehire Enrique,adriaeh01
4,Andrew Albers,27.304,Aug 6,Sep 15 2021,1,MIN,0.1,6-1,200,R,L,Oct 6 1985,North Battleford SK CA,Drafted by the San Diego Padres in the 10th round of the 2008 amateur draft. Player signed June 17 2008.,University of Kentucky (Lexington KY),John Paul II HS (North Battleford SK),Andrew William,alberan01
5,Abraham Almonte,24.064,Aug 30,Aug 26 2023,8/9H7D,SEA,1.0,5-10,223,B,R,Jun 27 1989,Santo Domingo Distrito Nacional DO,Signed by the New York Yankees as an amateur free agent in 2005.,,,Abraham,almonab01
6,Zoilo Almonte,24.009,Jun 19,Jul 30 2014,7/H9D,NYY,-0.8,6-0,205,B,R,Jun 10 1989,Santo Domingo Distrito Nacional DO,Signed by the New York Yankees as an amateur free agent in 2005.,,,Zoilo Manuel,almonzo01
7,José Álvarez,24.034,Jun 9,Jun 11 2022,1,DET,4.6,5-11,195,L,L,May 6 1989,Barcelona Anzoategui VE,Signed by the Boston Red Sox as an amateur free agent in 2005.,,,José Ricardo,alvarjo02
8,Steve Ames,25.137,Jul 30,Aug 11 2013,/1,MIA,0.0,6-1,205,R,R,Mar 15 1988,Vancouver WA US,Drafted by the Los Angeles Dodgers in the 17th round of the 2009 amateur draft. Player signed June 16 2009.,Gonzaga University (Spokane WA),Hudson's Bay HS (Vancouver WA),Steven Charles,amesst01
9,Oswaldo Arcia,21.341,Apr 15,Sep 18 2016,79/DH,MIN,-1.7,6-0,230,L,R,May 9 1991,Anaco Anzoategui VE,Signed by the Minnesota Twins as an amateur free agent in 2007.,,,Oswaldo Celestino,arciaos01
10,Nolan Arenado,22.012,Apr 28,,*5/H,COL,57.4,6-2,215,R,R,Apr 16 1991,Newport Beach CA US,Drafted by the Colorado Rockies in the 2nd round of the 2009 amateur draft. Player signed July 7 2009.,,El Toro HS (Lake Forest CA),Nolan James,arenano01
11,Cody Asche,23.030,Jul 30,May 12 2017,5/H,PHI,-1.9,6-1,205,L,R,Jun 30 1990,St. Charles MO US,Drafted by the Philadelphia Phillies in the 4th round of the 2011 amateur draft. Player signed June 13 2011.,University of Nebraska-Lincoln (Lincoln NE),Fort Zumwalt West HS (O'Fallon MO),Cody James,ascheco01
12,Brandon Bantz,26.152,Jun 8,Jun 8 2013,/2,SEA,0.0,6-1,205,R,R,Jan 7 1987,Arlington TX US,Drafted by the Seattle Mariners in the 30th round of the 2009 amateur draft. Player signed June 12 2009.,Dallas Baptist University (Dallas TX),Mansfield HS (Mansfield TX),Brandon,bantzbr01
13,Tim Beckham,23.235,Sep 19,Aug 24 2022,/H46,TBR,3.9,6-0,215,R,R,Jan 27 1990,Griffin GA US,Drafted by the Tampa Bay Rays in the 1st round (1st pick) of the 2008 amateur draft. Player signed June 19 2008.,,Griffin HS (Griffin GA),Timothy Lamar,beckhti01
14,Mike Belfiore,24.359,Sep 27,Sep 27 2013,/1,BAL,-0.1,6-3,220,R,L,Oct 3 1988,Huntington NY US,Drafted by the Arizona Diamondbacks in the 1st round (45th pick) of the 2009 amateur draft. Player signed June 19 2009.,Boston College (Chestnut Hill MA),Commack HS (Commack NY),Michael John,belfimi01
15,Engel Beltré,23.237,Jun 26,Sep 23 2013,/H987D,TEX,0.1,6-2,187,L,L,Nov 1 1989,Santo Domingo Distrito Nacional DO,Signed by the Boston Red Sox as an amateur free agent in 2006.,,,Engel Manuel,beltren01
16,Christian Bethancourt,22.027,Sep 29,Sep 29 2024,/H,ATL,1.1,6-3,205,R,R,Sep 2 1991,Panama Panama PA,Signed by the Atlanta Braves as an amateur free agent in 2008.,,,Christian Gabriel,bethach01
17,Chad Bettis,24.097,Aug 1,Aug 13 2019,1/H,COL,2.6,6-0,201,R,R,Apr 26 1989,Lubbock TX US,Drafted by the Colorado Rockies in the 2nd round of the 2010 amateur draft. Player signed June 11 2010.,Texas Tech University (Lubbock TX),Monterey HS (Lubbock TX),Chad Robert,bettich01
18,Vic Black,25.063,Jul 25,Sep 13 2014,/1,PIT,0.5,6-4,210,R,R,May 23 1988,Amarillo TX US,Drafted by the Pittsburgh Pirates in the 1st round (49th pick) of the 2009 amateur draft. Player signed June 22 2009.,Dallas Baptist University (Dallas TX),Amarillo HS (Amarillo TX),Victor Laurence,blackvi01
19,Michael Blazek,24.098,Jun 22,Jul 30 2019,1,STL,-0.5,6-0,205,R,R,Mar 16 1989,Las Vegas NV US,Drafted by the St. Louis Cardinals in the 35th round of the 2007 amateur draft. Player signed June 15 2007.,,Arbor View HS (Las Vegas NV),Michael Robert,blazemi01
20,Xander Bogaerts,20.323,Aug 20,,/56H,BOS,40.7,6-2,218,R,R,Oct 1 1992,Oranjestad AW,Signed by the Boston Red Sox as an amateur free agent in 2009.,,Colegio Arubano (Oranjestad Aruba),Xander Jan,bogaexa01
21,Buddy Boshers,25.093,Aug 10,Sep 28 2019,1,LAA,0.3,6-3,222,L,L,May 9 1988,Huntsville AL US,Drafted by the Los Angeles Angels of Anaheim in the 4th round of the 2008 amateur draft. Player signed June 17 2008.,Calhoun Community College (Decatur AL),Lee HS (Huntsville AL),Jeffrey Alan,boshebu01
22,Jackie Bradley Jr.,22.347,Apr 1,Jun 7 2023,87/H9,BOS,16.6,5-10,196,L,R,Apr 19 1990,Richmond VA US,Drafted by the Boston Red Sox in the 1st round (40th pick) of the 2011 amateur draft. Player signed August 15 2011.,University of South Carolina (Columbia SC),Prince George HS (Prince George VA),Jackie,bradlja02
23,Ryan Brasier,25.249,May 2,,/1,LAA,3.0,6-0,223,R,R,Aug 26 1987,Wichita Falls TX US,Drafted by the Los Angeles Angels of Anaheim in the 6th round of the 2007 amateur draft. Player signed June 10 2007.,Weatherford College (Weatherford TX),S. H. Rider HS (Wichita Falls TX),Ryan David,brasiry01
24,Charles Brewer,25.064,Jun 10,Jul 8 2013,/1,ARI,0.1,6-3,210,R,R,Apr 7 1988,Paradise Valley AZ US,Drafted by the Arizona Diamondbacks in the 12th round of the 2009 amateur draft. Player signed June 19 2009.,University of California Los Angeles (Los Angeles CA),Chaparral HS (Scottsdale AZ),Charles Robert,brewech01
25,Drake Britton,24.059,Jul 20,Sep 28 2014,1/DH,BOS,0.5,6-2,215,L,L,May 22 1989,Waco TX US,Drafted by the Boston Red Sox in the 23rd round of the 2007 amateur draft. Player signed August 15 2007.,,Tomball HS (Tomball TX),John Drake,brittdr01
