Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Chad Allen,24.059,Apr 6,Jun 2 2005,*7/HD9,MIN,-1.7,6-1,195,R,R,Feb 6 1975,Dallas TX US,Drafted by the Minnesota Twins in the 4th round of the 1996 amateur draft. Player signed August 7 1996.,Texas A&M University (College Station TX),Duncanville HS (Duncanville TX),John Chad,allench01
2,Armando Almanza,26.276,Jul 29,Jul 20 2005,1,FLA,-0.5,6-3,205,L,L,Oct 26 1972,El Paso TX US,Drafted by the St. Louis Cardinals in the 21st round of the 1993 amateur draft. Player signed June 8 1993.,New Mexico Junior College (Hobbs NM),Bel Air HS (El Paso TX),Armando,almanar01
3,Héctor Almonte,23.282,Jul 26,Sep 28 2003,1,FLA,-0.4,6-2,190,R,R,Oct 17 1975,Santo Domingo Distrito Nacional DO,Signed by the Florida Marlins as an amateur free agent in 1993.,,Liceo Jose Marti (Santo Domingo Dominican Republic),Héctor Radhames,almonhe01
4,Juan Alvarez,26.023,Sep 1,Jun 3 2003,/1,ANA,0.4,6-1,180,L,L,Aug 9 1973,Coral Gables FL US,Signed by the California Angels as an amateur free agent in 1995.,St. Thomas University (Miami Gardens FL),Coral Gables HS (Coral Gables FL),Juan Manuel,alvarju01
5,Jimmy Anderson,23.163,Jul 4,Jul 21 2004,1,PIT,1.2,6-1,195,L,L,Jan 22 1976,Portsmouth VA US,Drafted by the Pittsburgh Pirates in the 9th round of the 1994 amateur draft. Player signed June 21 1994.,,Western Branch HS (Chesapeake VA),James Drew,anderji02
6,Rick Ankiel,20.035,Aug 23,Jun 8 2013,/1,STL,9.1,6-1,210,L,L,Jul 19 1979,Fort Pierce FL US,Drafted by the St. Louis Cardinals in the 2nd round of the 1997 amateur draft. Player signed August 28 1997.,,Port St. Lucie HS (Port St. Lucie FL),Richard Alexander,ankieri01
7,Tony Armas,21.109,Aug 16,Jul 7 2008,/1,MON,6.9,6-4,205,R,R,Apr 29 1978,Puerto Piritu Anzoategui VE,Signed by the New York Yankees as an amateur free agent in 1994.,,Puerto Piritu (Puerto Piritu Venezuela),Antonio Jose,armasto02
8,Jamie Arnold,25.027,Apr 20,Oct 1 2000,1,LAD,-1.4,6-2,190,R,R,Mar 24 1974,Dearborn MI US,Drafted by the Atlanta Braves in the 1st round (21st pick) of the 1992 amateur draft. Player signed July 11 1992.,,Osceola HS (Kissimmee FL),James Lee,arnolja01
9,John Bale,25.131,Sep 30,Oct 2 2009,/1,TOR,1.0,6-4,210,L,L,May 22 1974,Cheverly MD US,Drafted by the Toronto Blue Jays in the 5th round of the 1996 amateur draft. Player signed June 17 1996.,Coastal Alabama Community College-Brewton (Brewton AL) University of Southern Mississippi (Hattiesburg MS),Crestview HS (Crestview FL),John Robert,balejo01
10,Rod Barajas,24.020,Sep 25,Oct 3 2012,/2,ARI,4.6,6-2,250,R,R,Sep 5 1975,Ontario CA US,Signed by the Arizona Diamondbacks as an amateur free agent in 1996.,Cerritos College (Norwalk CA),Santa Fe HS (Santa Fe Springs CA),Rodrigo Richard,barajro01
11,Glen Barker,27.332,Apr 7,Oct 7 2001,8H/97D,HOU,0.3,5-10,180,B,R,May 10 1971,Albany NY US,Drafted by the Detroit Tigers in the 11th round of the 1993 amateur draft. Player signed June 6 1993.,The College of Saint Rose (Albany NY),Albany HS (Albany NY),Glen F.,barkegl01
12,Kevin Barker,24.024,Aug 19,Oct 4 2009,3/H,MIL,-0.3,6-2,195,L,L,Jul 26 1975,Bristol VA US,Drafted by the Milwaukee Brewers in the 3rd round of the 1996 amateur draft. Player signed June 15 1996.,Virginia Polytechnic Institute and State University (Blacksburg VA),Virginia HS (Bristol VA),Kevin Stewart,barkeke01
13,Richie Barker,26.178,Apr 25,May 5 1999,/1,CHC,-0.1,6-2,210,R,R,Oct 29 1972,Revere MA US,Drafted by the Chicago Cubs in the 37th round of the 1994 amateur draft. Player signed June 7 1994.,Quinsigamond Community College (Worcester MA),Malden HS (Malden MA),Richard Frank,barkeri01
14,Clay Bellinger,30.142,Apr 9,Apr 8 2002,5H/3D746,NYY,-0.2,6-3,195,R,R,Nov 18 1968,Oneonta NY US,Drafted by the San Francisco Giants in the 2nd round of the 1989 amateur draft. Player signed June 8 1989.,Rollins College (Winter Park FL),Oneonta HS (Oneonta NY),Clayton Daniel,bellicl01
15,Kris Benson,24.153,Apr 9,Apr 28 2010,1,PIT,12.8,6-4,190,R,R,Nov 7 1974,Kennesaw GA US,Drafted by the Pittsburgh Pirates in the 1st round (1st pick) of the 1996 amateur draft. Player signed August 11 1996.,Clemson University (Clemson SC),Sprayberry HS (Marietta GA),Kristen James,bensokr01
16,Peter Bergeron,21.302,Sep 7,Apr 18 2004,7/8H,MON,-2.8,6-2,185,L,R,Nov 9 1977,Greenfield MA US,Drafted by the Los Angeles Dodgers in the 4th round of the 1996 amateur draft. Player signed June 13 1996.,,Greenfield HS (Greenfield MA),Peter Francis,bergepe01
17,Lance Berkman,23.156,Jul 16,Sep 17 2013,7H/93,HOU,51.9,6-1,220,B,L,Feb 10 1976,Waco TX US,Drafted by the Houston Astros in the 1st round (16th pick) of the 1997 amateur draft. Player signed June 4 1997.,Rice University (Houston TX),Canyon HS (New Braunfels TX),William Lance,berkmla01
18,Brent Billingsley,24.031,May 20,Oct 3 1999,/1,FLA,-0.6,6-2,200,L,L,Apr 19 1975,Downey CA US,Drafted by the Florida Marlins in the 5th round of the 1996 amateur draft. Player signed June 8 1996.,East Carolina University (Greenville NC) California State University Fullerton (Fullerton CA),Chino HS (Chino CA),Brent Aaron,billibr01
