Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Hanser Alberto,22.224,May 29,May 31 2023,4/65HD,TEX,4.3,5-11,215,R,R,Oct 17 1992,San Francisco de Macoris Duarte DO,Signed by the Texas Rangers as an amateur free agent in 2009.,,,Hanser Joel,alberha01
2,Scott Alexander,26.054,Sep 2,,/1,KCR,5.6,6-2,195,L,L,Jul 10 1989,Santa Rosa CA US,Drafted by the Kansas City Royals in the 6th round of the 2010 amateur draft. Player signed June 11 2010.,Pepperdine University (Malibu CA) Sonoma State University (Rohnert Park CA),Cardinal Newman HS (Santa Rosa CA),Scott Alain,alexasc02
3,Miguel Almonte,22.150,Sep 1,Sep 29 2018,/1,KCR,-0.4,6-1,210,R,R,Apr 4 1993,Santiago Santiago DO,Signed by the Kansas City Royals as an amateur free agent in 2010.,,,Miguel Emilio,almonmi01
4,Dariel Álvarez,26.294,Aug 28,Jul 25 2016,9/8,BAL,0.1,6-2,180,R,R,Nov 7 1988,Camaguey CU,Signed by the Baltimore Orioles as an amateur free agent in 2013.,,,Dariel,alvarda02
5,Cody Anderson,24.280,Jun 21,May 10 2019,1,CLE,1.0,6-4,240,R,R,Sep 14 1990,Quincy CA US,Drafted by the Cleveland Indians in the 14th round of the 2011 amateur draft. Player signed August 7 2011.,Feather River College (Quincy CA),Quincy HS (Quincy CA),Cody Andrew,anderco01
6,Matt Andriese,25.225,Apr 10,Jul 4 2024,1,TBR,0.8,6-2,215,R,R,Aug 28 1989,Redlands CA US,Drafted by the San Diego Padres in the 3rd round of the 2011 amateur draft. Player signed June 14 2011.,University of California Riverside (Riverside CA),Redlands East Valley HS (Redlands CA),Matthew Lee,andrima01
7,Elvis Araújo,23.294,May 5,Aug 16 2016,1,PHI,-0.5,6-7,275,L,L,Jul 15 1991,Maracaibo Zulia VE,Signed by the Cleveland Indians as an amateur free agent in 2007.,,,Elvis Alejandro,araujel01
8,Shawn Armstrong,24.331,Aug 8,,/1,CLE,2.2,6-2,225,R,R,Sep 11 1990,New Bern NC US,Drafted by the Cleveland Indians in the 18th round of the 2011 amateur draft. Player signed August 15 2011.,East Carolina University (Greenville NC),West Craven HS (Vanceboro NC),Shawn Michael,armstsh01
9,Jonathan Aro,24.258,Jun 25,Jun 20 2016,/1,BOS,-0.1,6-0,235,R,R,Oct 10 1990,La Vega La Vega DO,Signed by the Boston Red Sox as an amateur free agent in 2011.,,,Jonathan Arturo,arojo01
10,Alec Asher,23.330,Aug 30,Jul 12 2018,/1,PHI,-0.3,6-4,240,R,R,Oct 4 1991,Lakeland FL US,Drafted by the Texas Rangers in the 4th round of the 2012 amateur draft. Player signed June 5 2012.,Polk State College (Winter Haven FL) Santa Fe College (Gainesville FL),Lakeland HS (Lakeland FL),Alec Edward,asheral01
