Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Israel Alcántara,27.050,Jun 25,Aug 22 2002,/DH937,BOS,-0.4,6-2,180,R,R,May 6 1973,Bani Peravia DO,Signed by the Montreal Expos as an amateur free agent in 1990.,,Santo Domingo (Santo Domingo Dominican Republic),Israel,alcanis01
2,Dusty Allen,27.327,Jul 1,Oct 1 2000,/H73D,SDP,0.1,6-4,215,R,R,Aug 9 1972,Oklahoma City OK US,Drafted by the San Diego Padres in the 30th round of the 1995 amateur draft. Player signed June 10 1995.,Stanford University (Palo Alto CA),Edmond Memorial HS (Edmond OK),Dustin R.,allendu01
3,Clemente Álvarez,32.124,Sep 19,Oct 1 2000,/2H,PHI,-0.1,5-11,180,R,R,May 18 1968,Guanta Anzoategui VE,Signed by the Chicago White Sox as an amateur free agent in 1986.,,Anzoategui (Anzoategui Venezuela),Clemente Rafael,alvarcl01
4,Clayton Andrews,21.337,Apr 16,Jun 13 2000,/1,TOR,-0.7,6-0,175,R,L,May 15 1978,Dunedin FL US,Drafted by the Toronto Blue Jays in the 3rd round of the 1996 amateur draft. Player signed June 5 1996.,,Seminole HS (Seminole FL),Clayton John,andrecl01
5,Danny Ardoin,26.025,Aug 2,Sep 26 2008,2/H,MIN,0.3,6-0,205,R,R,Jul 8 1974,Mamou LA US,Drafted by the Oakland Athletics in the 5th round of the 1995 amateur draft. Player signed June 17 1995.,Texarkana College (Texarkana TX) McNeese State University (Lake Charles LA),Sacred Heart HS (Ville Platte LA),Daniel Wayne,ardoida01
6,Bronson Arroyo,23.109,Jun 12,Jun 18 2017,1/H,PIT,23.4,6-3,185,R,R,Feb 24 1977,Key West FL US,Drafted by the Pittsburgh Pirates in the 3rd round of the 1995 amateur draft. Player signed June 1 1995.,,Hernando HS (Brooksville FL),Bronson Anthony,arroybr01
7,Lorenzo Barceló,22.347,Jul 22,Apr 19 2002,1,CHW,0.6,6-4,230,R,R,Aug 10 1977,San Pedro de Macoris San Pedro de Macoris DO,Signed by the San Francisco Giants as an amateur free agent in 1994.,,San Pedro de Macoris (San Pedro de Macoris Dominican Republic),Lorenzo Antonio,barcelo01
8,John Barnes,24.145,Sep 16,Aug 26 2001,/987,MIN,-0.1,6-2,205,R,R,Apr 24 1976,San Diego CA US,Drafted by the Boston Red Sox in the 4th round of the 1996 amateur draft. Player signed July 26 1996.,Grossmont College (El Cajon CA),Granite Hills HS (El Cajon CA),John Delbert,barnejo01
9,Kevin Beirne,26.137,May 17,Sep 28 2002,1,CHW,-0.3,6-4,210,L,R,Jan 1 1974,Houston TX US,Drafted by the Chicago White Sox in the 11th round of the 1995 amateur draft. Player signed June 12 1995.,Texas A&M University (College Station TX),McCullough HS (The Woodlands TX),Kevin Patrick,beirnke01
10,Todd Belitz,24.317,Sep 4,Oct 6 2001,/1,OAK,-0.1,6-1,218,L,L,Oct 23 1975,Des Moines IA US,Drafted by the Tampa Bay Devil Rays in the 4th round of the 1997 amateur draft. Player signed June 5 1997.,Washington State University (Pullman WA),Edison HS (Huntington Beach CA),Todd Stephen,belitto01
