Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Bryan Abreu,22.100,Jul 31,,/1,HOU,5.7,6-1,230,R,R,Apr 22 1997,Santo Domingo Distrito Nacional DO,Signed by the Houston Astros as an amateur free agent in 2013.,,,Bryan Enrique,abreubr01
2,Dario Agrazal,24.169,Jun 15,Sep 25 2019,1,PIT,0.6,6-2,225,R,R,Dec 28 1994,Aguadulce Cocle PA,Signed by the Pittsburgh Pirates as an amateur free agent in 2012.,,,Dario Abdiel,agrazda01
3,R.J. Alaniz,27.302,Apr 12,Jul 23 2021,/1,SEA,-0.3,6-4,220,R,R,Jun 14 1991,McAllen TX US,Signed by the Houston Astros as an amateur free agent in 2009.,,Juarez-Lincoln HS (La Joya TX),Ruben,alanirj01
4,Jorge Alcalá,24.055,Sep 21,,/1,MIN,1.6,6-3,205,R,R,Jul 28 1995,Bajos de Haina San Cristobal DO,Signed by the Houston Astros as an amateur free agent in 2014.,,,Jorge Luis,alcaljo01
5,Tyler Alexander,24.354,Jul 3,,1,DET,3.0,6-1,214,R,L,Jul 14 1994,Chicago IL US,Drafted by the Detroit Tigers in the 2nd round of the 2015 amateur draft. Player signed June 25 2015.,Texas Christian University (Fort Worth TX),Carroll HS (Southlake TX),Tyler John,alexaty01
6,Austin Allen,25.115,May 11,Apr 30 2022,2H/3,SDP,-0.3,6-1,219,L,R,Jan 16 1994,St. Louis MO US,Drafted by the San Diego Padres in the 4th round of the 2015 amateur draft. Player signed June 13 2015.,Florida Institute of Technology (Melbourne FL),Chaminade College Preparatory School (Creve Coeur MO),Austin Michael,allenau01
7,Logan Allen,22.026,Jun 18,Jun 8 2024,/1,SDP,-1.2,6-3,200,R,L,May 23 1997,West Palm Beach FL US,Drafted by the Boston Red Sox in the 8th round of the 2015 amateur draft. Player signed June 21 2015.,,IMG Academy (Bradenton FL),Logan Shane,allenlo01
8,Pete Alonso,24.111,Mar 28,,*3/HD,NYM,21.6,6-3,245,R,R,Dec 7 1994,Tampa FL US,Drafted by the New York Mets in the 2nd round of the 2016 amateur draft. Player signed June 28 2016.,University of Florida (Gainesville FL),H. B. Plant HS (Tampa FL),Peter Morgan,alonspe01
9,Yordan Alvarez,21.347,Jun 9,,D7/H,HOU,23.1,6-4,237,L,R,Jun 27 1997,Las Tunas CU,Signed by the Los Angeles Dodgers as an amateur free agent in 2016.,,,Yordan Ruben,alvaryo01
10,Adbert Alzolay,24.111,Jun 20,May 12 2024,/1,CHC,2.1,6-1,208,R,R,Mar 1 1995,San Felix Bolivar VE,Signed by the Chicago Cubs as an amateur free agent in 2012.,,,Adbert Marcelo,alzolad01
