Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Albert Abreu,24.317,Aug 8,Sep 7 2023,/1,NYY,-0.1,6-2,190,R,R,Sep 26 1995,Guayubin Monte Cristi DO,Signed by the Houston Astros as an amateur free agent in 2013.,,,Albert Enmanuel,abreual01
2,Jo Adell,21.118,Aug 4,,9/8H,LAA,-1.4,6-2,215,R,R,Apr 8 1999,Shelby NC US,Drafted by the Los Angeles Angels in the 1st round (10th pick) of the 2017 amateur draft. Player signed June 15 2017.,,Ballard HS (Louisville KY),Jordon Scott,adelljo01
3,Keegan Akin,25.135,Aug 14,,/1,BAL,1.1,6-0,240,L,L,Apr 1 1995,Alma MI US,Drafted by the Baltimore Orioles in the 2nd round of the 2016 amateur draft. Player signed June 23 2016.,Western Michigan University (Kalamazoo MI),Bullock Creek HS (Midland MI),Keegan Lee,akinke01
4,Shogo Akiyama,32.099,Jul 24,Sep 16 2021,*78/HD,CIN,-0.3,6-0,182,L,R,Apr 16 1988,Yokosuka Kanagawa JP,Signed as a Free Agent with the Cincinnati Reds in 2020.,Hachinohe University (Japan),Yokohama Sogakukan HS (Japan),Shogo,akiyash01
5,Sergio Alcántara,24.058,Sep 6,Oct 5 2022,/45H,DET,0.0,5-10,177,B,R,Jul 10 1996,Santo Domingo Este Santo Domingo DO,Signed by the Arizona Diamondbacks as an amateur free agent in 2012.,,,Sergio Junior,alcanse01
6,Eddy Alvarez,30.188,Aug 5,Sep 30 2024,/45H6,MIA,-0.3,5-8,178,L,R,Jan 30 1990,Miami FL US,Signed by the Chicago White Sox as an amateur free agent in 2014.,Salt Lake Community College (Salt Lake City UT),Christopher Columbus HS (Miami FL),Eduardo Cortes,alvared01
7,Ian Anderson,22.116,Aug 26,,/1,ATL,3.1,6-3,170,R,R,May 2 1998,Rexford NY US,Drafted by the Atlanta Braves in the 1st round (3rd pick) of the 2016 amateur draft. Player signed June 25 2016.,,Shenendehowa HS (Clifton Park NY),Ian Theodore,anderia01
8,Tejay Antone,26.235,Jul 27,Apr 5 2024,1,CIN,3.3,6-4,230,R,R,Dec 5 1993,Oklahoma City OK US,Drafted by the Cincinnati Reds in the 5th round of the 2014 amateur draft. Player signed June 9 2014.,Texas Christian University (Fort Worth TX) Weatherford College (Weatherford TX),Legacy HS (Mansfield TX),Tejay Anthony,antonte01
9,Sherten Apostel,21.185,Sep 12,Sep 24 2020,/35,TEX,-0.5,6-4,235,R,R,Mar 11 1999,Willemstad CW,Signed by the Pittsburgh Pirates as an amateur free agent in 2015.,,,Sherten Wimbert Ramiro,apostsh01
10,Jonathan Araúz,21.356,Jul 24,Sep 17 2023,4/56HD,BOS,-0.9,6-0,195,B,R,Aug 3 1998,Alanje Chiriqui PA,Signed by the Philadelphia Phillies as an amateur free agent in 2014.,,,Jonathan Aldair,arauzjo01
