Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Jeremy Affeldt,22.304,Apr 6,Oct 4 2015,1,KCR,9.7,6-4,225,L,L,Jun 6 1979,Phoenix AZ US,Drafted by the Kansas City Royals in the 3rd round of the 1997 amateur draft. Player signed June 21 1997.,,Northwest Christian HS (Spokane WA),Jeremy David,affelje01
2,Luke Allen,24.037,Sep 10,Jul 17 2003,/H9,LAD,0.0,6-2,208,L,R,Aug 4 1978,Covington GA US,Signed by the Los Angeles Dodgers as an amateur free agent in 1996.,,Newton HS (Covington GA),Lucas Gale,allenlu01
3,Tony Alvarez,23.117,Sep 4,Oct 3 2004,/8H79,PIT,-0.1,6-1,200,R,R,May 10 1979,Caracas Distrito Federal VE,Signed by the Pittsburgh Pirates as an amateur free agent in 1995.,,Los Teques (Los Teques Venezuela),Antonio Enrique,alvarto01
4,Victor Álvarez,25.264,Jul 30,Aug 26 2003,/1,LAD,-0.4,5-10,150,L,L,Nov 8 1976,Culiacan Sinaloa MX,Signed by the Los Angeles Dodgers as an amateur free agent in 1997.,,Culiacan (Culiacan Mexico),Victor Aurelio,alvarvi01
5,Alfredo Amézaga,24.128,May 24,Sep 4 2011,/H6D,ANA,3.2,5-11,165,B,R,Jan 16 1978,Ciudad Obregon Sonora MX,Drafted by the Anaheim Angels in the 13th round of the 1999 amateur draft. Player signed June 4 1999.,St. Petersburg College (St. Petersburg FL),Miami Senior HS (Miami FL),Alfredo,amezaal01
6,Miguel Asencio,21.189,Apr 6,Apr 29 2006,1,KCR,2.1,6-2,190,R,R,Sep 29 1980,Villa Mella Santo Domingo DO,Signed by the Philadelphia Phillies as an amateur free agent in 1998.,,Liceo Tiro Al Blanco (La Victoria Dominican Republic),Miguel,asencmi01
7,Brandon Backe,24.105,Jul 19,Jun 18 2009,/1,TBD,2.5,6-0,182,R,R,Apr 5 1978,Galveston TX US,Drafted by the Tampa Bay Devil Rays in the 18th round of the 1998 amateur draft. Player signed June 5 1998.,Galveston College (Galveston TX),Ball HS (Galveston TX),Brandon Allen,backebr01
8,Josh Bard,24.146,Aug 23,Sep 17 2011,2,CLE,3.3,6-3,225,B,R,Mar 30 1978,Ithaca NY US,Drafted by the Colorado Rockies in the 3rd round of the 1999 amateur draft. Player signed August 12 1999.,Texas Tech University (Lubbock TX),Cherry Creek HS (Greenwood Village CO),Joshua David,bardjo01
9,Steve Bechler,22.292,Sep 6,Sep 22 2002,/1,BAL,-0.3,6-2,207,R,R,Nov 18 1979,Medford OR US,Drafted by the Baltimore Orioles in the 3rd round of the 1998 amateur draft. Player signed June 5 1998.,,South Medford HS (Medford OR),Steven Scott,bechlst01
10,Érik Bédard,23.043,Apr 17,Jul 12 2014,/1,BAL,17.4,6-1,195,L,L,Mar 5 1979,Navan ON CA,Drafted by the Baltimore Orioles in the 6th round of the 1999 amateur draft. Player signed June 8 1999.,Norwalk Community College (Norwalk CT),Norwalk HS (Norwalk CT) Sir Wilfrid Laurier SS (Ottawa ON),Érik Joseph,bedarer01
11,Francis Beltrán,22.211,Jun 28,Aug 24 2008,1,CHC,-0.3,6-6,255,R,R,Nov 29 1979,Santo Domingo Distrito Nacional DO,Signed by the Chicago Cubs as an amateur free agent in 1996.,,Santo Domingo (Santo Domingo Dominican Republic),Francis LeBron,beltrfr01
