Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Andy Abad,29.016,Sep 10,Apr 13 2006,/3H,OAK,-0.4,6-1,184,L,L,Aug 25 1972,Palm Beach FL US,Drafted by the Boston Red Sox in the 16th round of the 1993 amateur draft. Player signed June 5 1993.,Middle Georgia State University (Macon GA),Jupiter Community HS (Jupiter FL),Fausto Andres,abadan01
2,Brent Abernathy,23.275,Jun 25,Sep 29 2005,4/H,TBD,0.0,6-1,185,R,R,Sep 23 1977,Atlanta GA US,Drafted by the Toronto Blue Jays in the 2nd round of the 1996 amateur draft. Player signed August 24 1996.,,Lovett School (Atlanta GA),Michael Brent,abernbr01
3,Jose Acevedo,23.183,Jun 19,Sep 29 2005,1,CIN,-2.5,6-0,185,R,R,Dec 18 1977,Santo Domingo Distrito Nacional DO,Signed by the Cincinnati Reds as an amateur free agent in 1996.,,Santiago (Santiago Dominican Republic),Jose Omar,acevejo01
4,Kurt Ainsworth,22.361,Sep 5,May 14 2004,/1,SFG,-0.3,6-3,192,R,R,Sep 9 1978,Baton Rouge LA US,Drafted by the San Francisco Giants in the 1st round (24th pick) of the 1999 amateur draft. Player signed June 17 1999.,Louisiana State University (Baton Rouge LA),Catholic HS (Baton Rouge LA),Kurt Harold,ainswku01
5,Cory Aldridge,22.084,Sep 5,Jul 11 2010,/H987,ATL,-0.4,6-0,210,L,R,Jun 13 1979,San Angelo TX US,Drafted by the Atlanta Braves in the 4th round of the 1997 amateur draft. Player signed June 8 1997.,,Cooper HS (Abilene TX),Cory Jerome,aldrico01
6,Erick Almonte,23.215,Sep 4,Apr 25 2011,/H6D,NYY,-1.0,6-2,245,R,R,Feb 1 1978,Santo Domingo Distrito Nacional DO,Signed by the New York Yankees as an amateur free agent in 1996.,,Santo Domingo (Santo Domingo Dominican Republic),Erick R.,almoner01
7,Justin Atchley,27.214,Apr 7,Jul 12 2001,1,CIN,-0.1,6-3,215,L,L,Sep 5 1973,Sedro-Woolley WA US,Drafted by the Cincinnati Reds in the 12th round of the 1995 amateur draft. Player signed June 10 1995.,Walla Walla Community College (Walla Walla WA) Texas A&M University (College Station TX),Sedro-Woolley HS (Sedro-Woolley WA),Justin Scott,atchlju01
8,Jeff Austin,24.250,Jun 26,May 28 2003,1,KCR,-0.7,6-0,185,R,R,Oct 19 1976,San Bernardino CA US,Drafted by the Kansas City Royals in the 1st round (4th pick) of the 1998 amateur draft. Player signed February 20 1999.,Stanford University (Palo Alto CA),Kingwood HS (Kingwood TX),Jeffrey Wellington,austije01
9,Mike Bacsik,23.267,Aug 5,Sep 30 2007,/1,CLE,-0.5,6-2,225,L,L,Nov 11 1977,Dallas TX US,Drafted by the Cleveland Indians in the 18th round of the 1996 amateur draft. Player signed June 12 1996.,,Duncanville HS (Duncanville TX),Michael Joseph,bacsimi02
10,Benito Báez,24.111,Aug 25,Oct 5 2001,/1,FLA,-0.6,6-0,160,L,L,May 6 1977,Bonao Monsenor Nouel DO,Signed by the Oakland Athletics as an amateur free agent in 1993.,,Bonao (Bonao Dominican Republic),Benito,baezbe01
11,Danys Báez,23.245,May 13,Jul 16 2011,1,CLE,5.8,6-3,225,R,R,Sep 10 1977,Pinar del Rio Pinar del Rio CU,Signed by the Cleveland Indians as an amateur free agent in 1999.,,Pinar del Rio (Pinar del Rio Cuba),Danys G.,baezda01
12,Grant Balfour,23.204,Jul 22,Apr 18 2015,/1,MIN,9.2,6-2,200,R,R,Dec 30 1977,Sydney New South Wales AU,Signed by the Minnesota Twins as an amateur free agent in 1997.,,William Clark (Kellyville Australia),Grant Robert,balfogr01
13,Andy Barkett,28.041,May 28,Jun 24 2001,/73H9D,PIT,0.2,6-1,205,L,L,Apr 17 1973,Miami FL US,,North Carolina State University (Raleigh NC),Miami Killian HS (Miami FL),Andrew Jon,barkean01
14,Larry Barnes,26.262,Apr 11,Jul 31 2003,3/7H,ANA,-0.9,6-1,195,L,L,Jul 23 1974,Bakersfield CA US,Signed by the California Angels as an amateur free agent in 1995.,Bakersfield College (Bakersfield CA) California State University Fresno (Fresno CA),Bakersfield HS (Bakersfield CA),Larry Richard,barnela01
15,Rick Bauer,24.235,Sep 2,Jun 29 2008,/1,BAL,1.5,6-6,215,R,R,Jan 10 1977,Garden Grove CA US,Drafted by the Baltimore Orioles in the 5th round of the 1997 amateur draft. Player signed June 15 1997.,Treasure Valley Community College (Ontario OR),Centennial HS (Boise ID),Richard Edward,bauerri01
16,Josh Beckett,21.112,Sep 4,Aug 3 2014,/1,FLA,35.7,6-5,230,R,R,May 15 1980,Spring TX US,Drafted by the Florida Marlins in the 1st round (2nd pick) of the 1999 amateur draft. Player signed September 1 1999.,,Spring HS (Spring TX),Joshua Patrick,beckejo02
17,Joe Beimel,23.354,Apr 8,Oct 3 2015,1,PIT,7.0,6-3,205,L,L,Apr 19 1977,St. Marys PA US,Drafted by the Pittsburgh Pirates in the 18th round of the 1998 amateur draft. Player signed June 5 1998.,Allegany College of Maryland (Cumberland MD) Duquesne University (Pittsburgh PA),St. Marys HS (St. Marys PA),Joseph Ronald,beimejo01
18,Joaquín Benoit,24.013,Aug 8,Sep 7 2017,/1,TEX,17.9,6-4,250,R,R,Jul 26 1977,Santiago Santiago DO,Signed by the Texas Rangers as an amateur free agent in 1996.,,Santiago (Santiago Dominican Republic),Joaquín Antonio,benoijo01
19,Brandon Berger,26.200,Sep 9,Jun 13 2004,/7DH,KCR,-1.3,5-11,205,R,R,Feb 21 1975,Covington KY US,Drafted by the Kansas City Royals in the 14th round of the 1996 amateur draft. Player signed June 4 1996.,Eastern Kentucky University (Richmond KY),Beechwood HS (Fort Mitchell KY),Brandon Charles,bergebr01
20,Ángel Berroa,23.234,Sep 18,Aug 6 2009,6/H,KCR,1.0,6-0,195,R,R,Jan 27 1978,Santo Domingo Distrito Nacional DO,Signed by the Oakland Athletics as an amateur free agent in 1997.,,Santo Domingo (Santo Domingo Dominican Republic),Ángel Maria,berroan01
21,Wilson Betemit,19.320,Sep 18,Sep 12 2013,/H6,ATL,2.8,6-2,220,B,R,Nov 2 1981,Santo Domingo Distrito Nacional DO,Signed by the Atlanta Braves as an amateur free agent in 1996.,,Juan Batista Safra (Santo Domingo Dominican Republic),Wilson,betemwi01
22,Nick Bierbrodt,23.022,Jun 7,Jul 6 2004,/1H,ARI,-1.1,6-5,215,L,L,May 16 1978,Tarzana CA US,Drafted by the Arizona Diamondbacks in the 1st round (30th pick) of the 1996 amateur draft. Player signed June 9 1996.,,Millikan HS (Long Beach CA),Nicholas Raymond,bierbni01
23,Larry Bigbie,23.231,Jun 23,Jun 4 2006,89/H7,BAL,2.5,6-4,190,L,R,Nov 4 1977,Hobart IN US,Drafted by the Baltimore Orioles in the 1st round (21st pick) of the 1999 amateur draft. Player signed June 17 1999.,Ball State University (Muncie IN),Hobart HS (Hobart IN),Larry Robert,bigbila01
