Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Cory Abbott,25.258,Jun 5,Oct 1 2023,/1H,CHC,-0.9,6-2,217,R,R,Sep 20 1995,San Diego CA US,Drafted by the Chicago Cubs in the 2nd round of the 2017 amateur draft.,Loyola Marymount University (Los Angeles CA),Junipero Serra HS (San Diego CA),Cory James,abbotco01
2,Domingo Acevedo,27.107,Jun 21,May 3 2023,1,OAK,0.6,6-7,240,R,R,Mar 6 1994,Villa Los Almacigos Santiago Rodriguez DO,Signed by the New York Yankees as an amateur free agent in 2012.,,,Domingo Antonio,acevedo01
3,Riley Adams,24.347,Jun 8,,2/H,TOR,1.7,6-4,263,R,R,Jun 26 1996,Encinitas CA US,Drafted by the Toronto Blue Jays in the 3rd round of the 2017 amateur draft. Player signed June 18 2017.,University of San Diego (San Diego CA),Canyon Crest Academy (San Diego CA),Riley Keaton,adamsri03
4,Joan Adon,23.052,Oct 3,Aug 22 2024,/1,WSN,-1.6,6-2,247,R,R,Aug 12 1998,Santo Domingo Distrito Nacional DO,Signed by WAS (NL) as an amateur free agent in 2016.,,,Joan Manuel,adonjo01
5,Miguel Aguilar,29.307,Jul 30,Sep 12 2021,/1,ARI,-0.2,5-8,194,L,L,Sep 26 1991,Ciudad Obregon Sonora MX,Signed as a Free Agent with the Arizona Diamondbacks in 2016.,,,Miguel Armando,aguilmi01
6,A.J. Alexy,23.131,Aug 30,Sep 12 2022,/1,TEX,-0.3,6-4,195,R,R,Apr 21 1998,Honey Brook PA US,Drafted by the Los Angeles Dodgers in the 11th round of the 2016 amateur draft. Player signed June 22 2016.,,Twin Valley HS (Elverson PA),Adam John,alexyaj01
7,Nick Allgeyer,25.149,Jul 2,Jul 2 2021,/1,TOR,0.0,6-3,225,L,L,Feb 3 1996,St. Louis MO US,Drafted by the Toronto Blue Jays in the 12th round of the 2018 amateur draft. Player signed June 10 2018.,University of Iowa (Iowa City IA),St. John Vianney HS (Kirkwood MO),Nicholas Joseph,allgeni01
8,Trey Amburgey,26.265,Jul 16,Jul 18 2021,/9,NYY,-0.1,6-2,210,R,R,Oct 24 1994,Lake Worth FL US,Drafted by the New York Yankees in the 13th round of the 2015 amateur draft. Player signed June 13 2015.,St. Petersburg College (St. Petersburg FL),Park Vista Community HS (Lake Worth FL),Tommy Wayne,amburtr01
9,Kohei Arihara,28.235,Apr 3,Sep 10 2022,1,TEX,-1.5,6-2,210,R,R,Aug 11 1992,Hiroshima Hiroshima JP,Signed as a Free Agent with the Texas Rangers in 2020.,,,Kohei,arihako01
10,Aaron Ashby,23.037,Jun 30,,1/H,MIL,-0.5,6-0,188,R,L,May 24 1998,Kansas City MO US,Drafted by the Milwaukee Brewers in the 4th round of the 2018 amateur draft. Player signed June 13 2018.,Crowder College (Neosho MO),,Aaron Phillip,ashbyaa01
11,Akil Baddoo,22.231,Apr 4,,*87H/D9,DET,2.9,5-11,214,L,L,Aug 16 1998,Silver Spring MD US,Drafted by the Minnesota Twins in the 2nd round of the 2016 amateur draft. Player signed June 16 2016.,,Salem HS (Conyers GA),Akil Neomon,baddoak01
12,Bryan Baker,26.277,Sep 5,,/1,TOR,2.1,6-6,235,R,R,Dec 2 1994,Fort Walton Beach FL US,Drafted by the Colorado Rockies in the 11th round of the 2016 amateur draft. Player signed June 14 2016.,University of North Florida (Jacksonville FL),Choctawhatchee HS (Fort Walton Beach FL),Bryan Scott,bakerbr01
13,Alberto Baldonado,28.213,Sep 2,Oct 1 2021,1,WSN,-0.5,6-5,270,L,L,Feb 1 1993,Colon Colon PA,Signed by the New York Mets as an amateur free agent in 2009.,,,Alberto Louis,baldoal01
14,Joe Barlow,25.269,Jun 24,Jul 1 2023,1,TEX,1.0,6-2,210,R,R,Sep 28 1995,Riverton UT US,Drafted by the Texas Rangers in the 11th round of the 2016 amateur draft. Player signed June 12 2016.,Salt Lake Community College (Salt Lake City UT),Riverton HS (Riverton UT),Joseph Israel,barlojo01
15,Charlie Barnes,25.289,Jul 17,Oct 3 2021,/1,MIN,-0.3,6-2,190,L,L,Oct 1 1995,Sumter SC US,Drafted by the Minnesota Twins in the 4th round of the 2017 amateur draft. Player signed June 16 2017.,Clemson University (Clemson SC),Sumter HS (Sumter SC),Charles Segars,barnech01
16,Manny Barreda,32.335,Sep 8,Sep 11 2021,/1,BAL,-0.1,5-11,195,R,R,Oct 8 1988,Sahuarita AZ US,Drafted by the New York Yankees in the 12th round of the 2007 amateur draft. Player signed June 9 2007.,,Sahuarita HS (Sahuarita AZ),Manuel Antonio,barrema03
17,Luis Barrera,25.185,May 19,Jun 19 2022,/7H98,OAK,0.4,6-0,195,L,L,Nov 15 1995,Tamboril Santiago DO,Signed by the Oakland Athletics as an amateur free agent in 2012.,,,Luis Rafael,barrelu01
18,Mike Baumann,25.362,Sep 7,Sep 27 2024,/1,BAL,-0.5,6-4,240,R,R,Sep 10 1995,Mahtomedi MN US,Drafted by the Baltimore Orioles in the 3rd round of the 2017 amateur draft. Player signed June 20 2017.,Jacksonville University (Jacksonville FL),Mahtomedi HS (Mahtomedi MN),Michael Thomas,baumami01
19,Shane Baz,22.095,Sep 20,,/1,TBR,2.3,6-3,200,R,R,Jun 17 1999,Houston TX US,Drafted by the Pittsburgh Pirates in the 1st round (12th pick) of the 2017 amateur draft. Player signed June 16 2017.,,Concordia Lutheran HS (Tomball TX),Shane Austin,bazsh01
20,Eduard Bazardo,25.225,Apr 14,,/1,BOS,0.6,6-0,190,R,R,Sep 1 1995,Maracay Aragua VE,Signed by the Boston Red Sox as an amateur free agent in 2014.,,,Eduard Felix,bazared01
21,Seth Beer,24.357,Sep 10,Aug 16 2022,/DH3,ARI,-0.8,6-2,225,L,R,Sep 18 1996,Maryville IL US,Drafted by the Houston Astros in the 1st round (28th pick) of the 2018 amateur draft. Player signed June 13 2018.,Clemson University (Clemson SC),Lambert HS (Suwanee GA),Seth Michael,beerse01
22,Anthony Bender,26.091,May 5,,1/H,MIA,3.5,6-4,205,R,R,Feb 3 1995,Petaluma CA US,Drafted by the Kansas City Royals in the 20th round of the 2016 amateur draft. Player signed July 8 2016.,Santa Rosa Junior College (Santa Rosa CA),Casa Grande HS (Petaluma CA),Anthony Wayne,bendean01
23,Alec Bettinger,25.293,May 2,Jul 1 2021,/1,MIL,-0.6,6-2,210,R,R,Jul 13 1995,Alexandria VA US,Drafted by the Milwaukee Brewers in the 10th round of the 2017 amateur draft. Player signed June 19 2017.,University of Virginia (Charlottesville VA),C. D. Hylton HS (Woodbridge VA),Alec John,bettial01
24,Akeem Bostick,26.086,Jul 29,Jul 29 2021,/1,NYM,0.0,6-6,240,R,R,May 4 1995,Florence SC US,Drafted by the Texas Rangers in the 2nd round of the 2013 amateur draft. Player signed June 10 2013.,,West Florence HS (Florence SC),Akeem Maurice,bostiak01
25,Ben Bowden,26.163,Apr 2,Sep 10 2021,1,COL,-0.6,6-4,249,L,L,Oct 21 1994,Lynn MA US,Drafted by the Colorado Rockies in the 2nd round of the 2016 amateur draft. Player signed June 15 2016.,Vanderbilt University (Nashville TN),Lynn English HS (Lynn MA),Benjamin Douglas,bowdebe01
26,Jake Brentz,26.201,Apr 3,Apr 29 2022,1,KCR,-0.9,6-1,205,L,L,Sep 14 1994,Ballwin MO US,Drafted by the Toronto Blue Jays in the 11th round of the 2013 amateur draft. Player signed July 12 2013.,,Parkway South HS (Manchester MO),Jacob Steven,brentja01
27,Justin Bruihl,24.043,Aug 8,Jun 24 2024,1,LAD,-0.1,6-2,215,L,L,Jun 26 1997,Petaluma CA US,Signed by the Los Angeles Dodgers as an amateur free agent in 2017.,California Polytechnic State University San Luis Obispo (San Luis Obispo CA),Casa Grande HS (Petaluma CA),Justin,bruihju01
28,Vidal Bruján,23.148,Jul 7,,/4H98D7,TBR,-1.5,5-9,180,B,R,Feb 9 1998,San Pedro de Macoris San Pedro de Macoris DO,Signed by the Tampa Bay Rays as an amateur free agent in 2014.,,,Vidal,brujavi01
29,JB Bukauskas,24.191,Apr 20,Apr 13 2024,1,ARI,-0.6,6-0,210,R,R,Oct 11 1996,Ashburn VA US,Drafted by the Houston Astros in the 1st round (15th pick) of the 2017 amateur draft. Player signed July 7 2017.,University of North Carolina at Chapel Hill (Chapel Hill NC),Stone Bridge HS (Ashburn VA),Jacob Allen,bukaujb01
30,Jake Burger,25.083,Jul 2,,/5DH,CHW,3.6,6-0,230,R,R,Apr 10 1996,St. Louis MO US,Drafted by the Chicago White Sox in the 1st round (11th pick) of the 2017 amateur draft. Player signed June 16 2017.,Missouri State University (Springfield MO),,Jacob Michael,burgeja01
31,Edward Cabrera,23.134,Aug 25,,/1,MIA,4.8,6-5,217,R,R,Apr 13 1998,Santiago Santiago DO,Signed by the Miami Marlins as an amateur free agent in 2015.,,,Edward Brany,cabreed02
32,Daniel Camarena,28.222,Jun 19,Aug 25 2021,/1,SDP,-0.5,6-0,210,L,L,Nov 9 1992,Bonita CA US,Drafted by the New York Yankees in the 20th round of the 2011 amateur draft. Player signed August 15 2011.,,Cathedral Catholic HS (San Diego CA),Daniel Ricardo,camarda01
33,Paul Campbell,25.251,Apr 3,Sep 18 2021,1,MIA,-1.0,6-0,215,L,R,Jul 26 1995,Malden MA US,Drafted by the Tampa Bay Rays in the 21st round of the 2017 amateur draft. Player signed June 28 2017.,Clemson University (Clemson SC),,Paul Alan,campbpa02
34,Drew Carlton,25.361,Sep 4,Jun 30 2023,/1,DET,-0.1,6-1,215,R,R,Sep 8 1995,Lakeland FL US,Drafted by the Detroit Tigers in the 32nd round of the 2017 amateur draft. Player signed June 26 2017.,Florida State University (Tallahassee FL),George Jenkins HS (Lakeland FL),Drew Michael,carltdr01
35,Erick Castillo,28.217,Sep 30,Oct 3 2021,/2H,CHC,0.1,5-11,178,R,R,Feb 25 1993,Araure Portuguesa VE,Signed by the Chicago Cubs as an amateur free agent in 2010.,,,Erick José,castier01
36,Ivan Castillo,25.349,May 14,May 16 2021,/H45,SDP,0.0,5-9,179,B,R,May 30 1995,Santiago Santiago DO,Signed by the Cleveland Indians as an amateur free agent in 2011.,,,Ivan Enrique,castiiv01
37,Kervin Castro,22.212,Sep 7,Aug 25 2022,1,SFG,0.4,6-0,185,R,R,Feb 7 1999,Maracay Aragua VE,Signed by the San Francisco Giants as an amateur free agent in 2015.,,,Kervin Alexander,castrke01
38,Rodolfo Castro,21.335,Apr 21,Sep 28 2023,4/H5,PIT,0.6,6-0,205,R,R,May 21 1999,Los Llanos San Pedro de Macoris DO,Signed by the Pittsburgh Pirates as an amateur free agent in 2015.,,,Rodolfo,castrro01
39,Gilberto Celestino,22.109,Jun 2,Oct 5 2022,8/H9D7,MIN,0.2,6-0,170,R,L,Feb 13 1999,Santo Domingo Distrito Nacional DO,Signed by the Houston Astros as an amateur free agent in 2015.,,,Gilberto,celesgi01
40,Sam Clay,27.290,Apr 7,Aug 20 2022,1,WSN,-0.9,6-3,238,L,L,Jun 21 1993,Knoxville TN US,Drafted by the Minnesota Twins in the 4th round of the 2014 amateur draft. Player signed June 12 2014.,Georgia Institute of Technology (Atlanta GA),Buford HS (Buford GA),Samuel Thomas Hunter,claysa01
41,Ernie Clement,25.083,Jun 13,,45/H76,CLE,4.2,5-11,170,R,R,Mar 22 1996,Rochester NY US,Drafted by the Cleveland Indians in the 4th round of the 2017 amateur draft. Player signed June 22 2017.,University of Virginia (Charlottesville VA),Brighton HS (Rochester NY),Ernie James,clemeer01
42,Dylan Coleman,25.005,Sep 21,Apr 3 2024,/1,KCR,1.1,6-5,235,R,R,Sep 16 1996,Potosi MO US,Drafted by the San Diego Padres in the 4th round of the 2018 amateur draft. Player signed June 12 2018.,Missouri State University (Springfield MO),Potosi HS (Potosi MO),Dylan David,colemdy01
43,Roansy Contreras,21.326,Sep 29,Sep 29 2024,/1,PIT,1.3,6-1,205,R,R,Nov 7 1999,Peralvillo Monte Plata DO,Signed by the New York Yankees as an amateur free agent in 2016.,,,Roansy,contrro01
44,Jake Cousins,26.342,Jun 21,Sep 19 2024,1,MIL,1.8,6-4,195,R,R,Jul 14 1994,Park Ridge IL US,Drafted by the Washington Nationals in the 20th round of the 2017 amateur draft. Player signed June 19 2017.,University of Pennsylvania (Philadelphia PA),,Jake Owen,cousija01
45,Kutter Crawford,25.157,Sep 5,Sep 28 2024,/1,BOS,4.3,6-1,195,R,R,Apr 1 1996,Okeechobee FL US,Drafted by the Boston Red Sox in the 16th round of the 2017 amateur draft. Player signed June 22 2017.,Florida Gulf Coast University (Fort Myers FL) Indian River State College (Fort Pierce FL),,Kutter Martin,crawfku01
46,Cooper Criswell,25.034,Aug 27,,/1,LAA,-0.1,6-6,200,R,R,Jul 24 1996,Carrollton GA US,Drafted by the Los Angeles Angels in the 13th round of the 2018 amateur draft. Player signed June 28 2018.,Southern Union State Community College (Wadley AL) University of North Carolina at Chapel Hill (Chapel Hill NC),,Cooper Timothy,criswco01
47,Hans Crouse,23.011,Sep 26,Sep 8 2024,/1,PHI,0.5,6-4,180,L,R,Sep 15 1998,Dana Point CA US,Drafted by the Texas Rangers in the 2nd round of the 2017 amateur draft. Player signed June 16 2017.,,Dana Hills HS (Dana Point CA),Hans Michael,crousha01
48,Oneil Cruz,22.363,Oct 2,,/6,PIT,6.2,6-7,240,L,R,Oct 4 1998,Nizao Peravia DO,Signed by the Los Angeles Dodgers as an amateur free agent in 2015.,,,Oneil,cruzon01
49,Ronnie Dawson,25.330,Apr 14,May 5 2022,/DH,HOU,-0.2,6-2,217,L,R,May 19 1995,Grove City OH US,Drafted by the Houston Astros in the 2nd round of the 2016 amateur draft. Player signed June 17 2016.,The Ohio State University (Columbus OH),Licking Heights HS (Pataskala OH),Ronnie Silas,dawsoro01
50,Brett de Geus,23.148,Apr 1,Sep 29 2024,1,TEX,-1.9,6-2,215,R,R,Nov 4 1997,Pleasanton CA US,Drafted by the Los Angeles Dodgers in the 33rd round of the 2017 amateur draft. Player signed June 19 2017.,Cabrillo College (Aptos CA),,Brett,degeubr01
51,Alex De Goti,26.240,Apr 16,Apr 18 2021,/4,HOU,0.1,5-10,192,R,R,Aug 19 1994,Miami FL US,Drafted by the Houston Astros in the 15th round of the 2016 amateur draft. Player signed June 14 2016.,Barry University (Miami Shores FL) California State University Long Beach (Long Beach CA),Belen Jesuit Preparatory (Miami FL),Alexander,degotal01
52,Bryan De La Cruz,24.227,Jul 31,,897/H,MIA,-0.8,6-1,175,R,R,Dec 16 1996,Santo Domingo Este Santo Domingo DO,Signed by the Houston Astros as an amateur free agent in 2013.,,,Bryan Starling,delacbr01
53,Greg Deichmann,26.067,Aug 6,Oct 3 2021,/9H7,CHC,-0.4,6-0,205,L,R,May 31 1995,Metairie LA US,Drafted by the Oakland Athletics in the 2nd round of the 2017 amateur draft. Player signed July 6 2017.,Louisiana State University (Baton Rouge LA),Brother Martin HS (New Orleans LA),Gregory Arthur,deichgr01
