Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Ronald Acuña Jr.,20.128,Apr 25,,78/9HD,ATL,26.0,6-0,205,R,R,Dec 18 1997,La Guaira La Guaira VE,Signed by the Atlanta Braves as an amateur free agent in 2014.,,,Ronald Jose,acunaro01
2,Jason Adam,26.274,May 5,,1,KCR,7.4,6-3,229,R,R,Aug 4 1991,Omaha NE US,Drafted by the Kansas City Royals in the 5th round of the 2010 amateur draft. Player signed August 16 2010.,,Blue Valley Northwest HS (Overland Park KS),Jason Kendall,adamja01
3,Willy Adames,22.262,May 22,,64/H,TBR,21.1,6-0,215,R,R,Sep 2 1995,Santiago Santiago DO,Signed by the Detroit Tigers as an amateur free agent in 2012.,,,Willy Rafael,adamewi01
4,Chance Adams,23.359,Aug 4,Sep 22 2020,/1,NYY,-1.1,6-1,230,R,R,Aug 10 1994,Scottsdale AZ US,Drafted by the New York Yankees in the 5th round of the 2015 amateur draft. Player signed June 12 2015.,Dallas Baptist University (Dallas TX),Chaparral HS (Scottsdale AZ),Chance,adamsch01
5,Kolby Allard,20.352,Jul 31,,/1,ATL,-0.8,6-1,195,L,L,Aug 13 1997,Anaheim CA US,Drafted by the Atlanta Braves in the 1st round (14th pick) of the 2015 amateur draft. Player signed July 13 2015.,,San Clemente HS (San Clemente CA),Kolby Kenneth,allarko01
6,Yency Almonte,24.017,Jun 21,May 7 2024,1,COL,0.8,6-5,223,R,R,Jun 4 1994,Miami FL US,Drafted by the Los Angeles Angels of Anaheim in the 17th round of the 2012 amateur draft. Player signed July 9 2012.,,Christopher Columbus HS (Miami FL),Yency,almonye01
7,Justin Anderson,25.207,Apr 23,Sep 25 2024,1,LAA,0.8,6-3,230,L,R,Sep 28 1992,Houston TX US,Drafted by the Los Angeles Angels of Anaheim in the 14th round of the 2014 amateur draft. Player signed June 10 2014.,University of Texas at San Antonio (San Antonio TX),St. Pius X HS (Houston TX),Justin Charles,anderju01
8,Tanner Anderson,25.036,Jul 2,Sep 30 2021,/1,PIT,-0.5,6-2,203,R,R,May 27 1993,Boynton Beach FL US,Drafted by the Pittsburgh Pirates in the 20th round of the 2015 amateur draft. Player signed June 16 2015.,Harvard University (Cambridge MA),,Tanner Ackley,anderta01
9,John Andreoli,27.348,May 23,May 17 2021,/D7H9,SEA,-0.1,6-1,218,R,R,Jun 9 1990,Worcester MA US,Drafted by the Chicago Cubs in the 17th round of the 2011 amateur draft. Player signed August 13 2011.,University of Connecticut (Storrs CT),St. John's HS (Shrewsbury MA),John Francis,andrejo03
10,Aristides Aquino,24.119,Aug 19,Oct 3 2022,/H9,CIN,2.1,6-4,220,R,R,Apr 22 1994,Santo Domingo Distrito Nacional DO,Signed by the Cincinnati Reds as an amateur free agent in 2011.,,,Aristides,aquinar01
11,Pedro Araújo,24.272,Mar 31,Apr 1 2019,1,BAL,-0.6,6-3,215,R,R,Jul 2 1993,San Cristobal San Cristobal DO,Signed by the Chicago Cubs as an amateur free agent in 2011.,,,Pedro,araujpe01
12,Francisco Arcia,28.315,Jul 26,Sep 30 2018,2/H13D,LAA,0.0,5-11,200,L,R,Sep 14 1989,Maiquetia La Guaira VE,Signed by the New York Yankees as an amateur free agent in 2006.,,,Francisco Antonio,arciafr01
13,Willians Astudillo,26.259,Jun 30,Jul 27 2022,2/5D4871H,MIN,-0.5,5-9,225,R,R,Oct 14 1991,Barcelona Anzoategui VE,Signed by the Philadelphia Phillies as an amateur free agent in 2008.,,,Willians Jose,astudwi01
14,Abiatal Avelino,23.206,Sep 8,Aug 26 2019,/6H4,SFG,-0.1,6-0,210,R,R,Feb 14 1995,San Pedro de Macoris San Pedro de Macoris DO,Signed by the New York Yankees as an amateur free agent in 2011.,,,Abiatal,aveliab01
15,Sandy Báez,24.191,Jun 4,May 17 2019,/1,DET,-0.2,6-2,219,R,R,Nov 25 1993,Juan Baron San Cristobal DO,Signed by the Detroit Tigers as an amateur free agent in 2011.,,,Sandy,baezsa01
16,Luke Bard,27.138,Mar 31,Aug 28 2022,/1,LAA,0.8,6-3,200,R,R,Nov 13 1990,Charlotte NC US,Drafted by the Minnesota Twins in the 1st round (42nd pick) of the 2012 amateur draft. Player signed June 20 2012.,Georgia Institute of Technology (Atlanta GA),Charlotte Christian HS (Charlotte NC),Luke Francis,bardlu01
17,Scott Barlow,25.133,Apr 30,,/1,KCR,7.2,6-3,210,R,R,Dec 18 1992,New London CT US,Drafted by the Los Angeles Dodgers in the 6th round of the 2011 amateur draft. Player signed August 8 2011.,,Golden Valley HS (Santa Clarita CA),Scott Alen,barlosc01
18,Jaime Barria,21.267,Apr 11,Sep 25 2023,1,LAA,5.5,6-1,210,R,R,Jul 18 1996,Panama Panama PA,Signed by the Los Angeles Angels of Anaheim as an amateur free agent in 2013.,,,Jaime Jonathan,barrija01
19,Tyler Bashlor,25.070,Jun 25,Sep 9 2020,1,NYM,-0.7,6-0,195,R,R,Apr 16 1993,Springfield GA US,Drafted by the New York Mets in the 11th round of the 2013 amateur draft. Player signed June 19 2013.,South Georgia College (Douglas GA),Calvary Day Baptist (Savannah GA),Tyler Morris,bashlty01
20,Jake Bauers,22.244,Jun 7,,37/DH9,TBR,-1.5,6-0,203,L,L,Oct 6 1995,Newport Beach CA US,Drafted by the San Diego Padres in the 7th round of the 2013 amateur draft. Player signed June 18 2013.,,Marina HS (Huntington Beach CA),Jakob Christopher,bauerja01
21,Gerson Bautista,22.321,Apr 17,Aug 3 2019,/1,NYM,-0.6,6-3,195,R,R,May 31 1995,San Juan de la Maguana San Juan DO,Signed by the Boston Red Sox as an amateur free agent in 2013.,,,Gerson,bautige01
22,Tyler Beede,24.322,Apr 10,May 2 2024,/1,SFG,-1.2,6-2,216,R,R,May 23 1993,Worcester MA US,Drafted by the San Francisco Giants in the 1st round (14th pick) of the 2014 amateur draft. Player signed July 11 2014.,Vanderbilt University (Nashville TN),Lawrence Academy (Groton MA),Tyler Joseph,beedety01
23,Jalen Beeks,24.332,Jun 7,,/1,BOS,1.5,5-11,215,L,L,Jul 10 1993,Fayetteville AR US,Drafted by the Boston Red Sox in the 12th round of the 2014 amateur draft. Player signed June 21 2014.,University of Arkansas (Fayetteville AR),Prairie Grove HS (Prairie Grove AR),Jalen Christopher,beeksja02
