Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Austin Adams,26.071,Jul 15,Aug 13 2024,/1,WSN,1.2,6-3,220,R,R,May 5 1991,Tampa FL US,Drafted by the Los Angeles Angels of Anaheim in the 8th round of the 2012 amateur draft. Player signed June 12 2012.,University of South Florida (Tampa FL),Zephyrhills HS (Zephyrhills FL),Austin Lance,adamsau02
2,Ozzie Albies,20.206,Aug 1,,4,ATL,22.4,5-7,165,B,R,Jan 7 1997,Willemstad CW,Signed by the Atlanta Braves as an amateur free agent in 2013.,,,Ozhaino Jurdy Jiandro,albieoz01
3,Sandy Alcantara,21.361,Sep 3,,/1,STL,18.8,6-5,200,R,R,Sep 7 1995,Azua Azua DO,Signed by the St. Louis Cardinals as an amateur free agent in 2013.,,,Sandy,alcansa01
4,Victor Alcántara,24.155,Sep 5,Sep 29 2019,/1,DET,1.3,6-2,190,R,R,Apr 3 1993,Santo Domingo Distrito Nacional DO,Signed by the Los Angeles Angels of Anaheim as an amateur free agent in 2011.,,,Victor Alfonso,alcanvi01
5,Anthony Alford,22.303,May 19,Apr 23 2022,/7H9,TOR,-0.1,6-0,215,R,R,Jul 20 1994,Columbia MS US,Drafted by the Toronto Blue Jays in the 3rd round of the 2012 amateur draft. Player signed June 14 2012.,University of Mississippi (Oxford MS),Petal HS (Petal MS),Anthony Joseph,alforan01
6,Greg Allen,24.170,Sep 1,Aug 20 2023,8/H7,CLE,1.2,5-10,187,B,R,Mar 15 1993,San Diego CA US,Drafted by the Cleveland Indians in the 6th round of the 2014 amateur draft. Player signed June 12 2014.,San Diego State University (San Diego CA),Hilltop HS (Chula Vista CA),Gregory Lomack,allengr01
7,José Alvarado,21.347,May 3,,1,TBR,4.8,6-2,245,L,L,May 21 1995,Maracaibo Zulia VE,Signed by the Tampa Bay Rays as an amateur free agent in 2012.,,,José Antonio,alvarjo03
8,Brian Anderson,24.105,Sep 1,Jun 12 2024,5/H,MIA,9.8,6-2,215,R,R,May 19 1993,Edmond OK US,Drafted by the Miami Marlins in the 3rd round of the 2014 amateur draft. Player signed June 8 2014.,University of Arkansas (Fayetteville AR),Deer Creek HS (Edmond OK),Brian Wade,anderbr06
9,Drew Anderson,23.132,Aug 1,Oct 3 2021,/1,PHI,-0.4,6-3,205,R,R,Mar 22 1994,Reno NV US,Drafted by the Philadelphia Phillies in the 21st round of the 2012 amateur draft. Player signed June 24 2012.,,Galena HS (Reno NV),Andrew James,anderdr02
10,Miguel Andujar,22.118,Jun 28,,/5DH,NYY,1.7,6-0,211,R,R,Mar 2 1995,San Cristobal San Cristobal DO,Signed by the New York Yankees as an amateur free agent in 2011.,,,Miguel Enrique,andujmi01
11,Víctor Arano,22.217,Sep 12,Sep 1 2022,1,PHI,1.6,6-2,242,R,R,Feb 7 1995,Cosamaloapan Veracruz MX,Signed by the Los Angeles Dodgers as an amateur free agent in 2013.,,,Víctor Teodoro,aranovi01
12,Christian Arroyo,21.329,Apr 24,Aug 2 2023,56/4H,SFG,2.1,6-0,220,R,R,May 30 1995,Tampa FL US,Drafted by the San Francisco Giants in the 1st round (25th pick) of the 2013 amateur draft. Player signed June 18 2013.,,Hernando HS (Brooksville FL),Christian Israel,arroych01
13,Barrett Astin,25.163,Apr 3,May 14 2017,/1,CIN,-0.1,6-1,225,R,R,Oct 22 1991,Forrest City AR US,Drafted by the Milwaukee Brewers in the 3rd round of the 2013 amateur draft. Player signed June 8 2013.,University of Arkansas (Fayetteville AR),Forrest City HS (Forrest City AR),Barrett,astinba01
14,Harrison Bader,23.052,Jul 25,,8/H79,STL,15.2,5-11,210,R,R,Jun 3 1994,Bronxville NY US,Drafted by the St. Louis Cardinals in the 3rd round of the 2015 amateur draft. Player signed June 28 2015.,University of Florida (Gainesville FL),Horace Mann School (Bronx NY),Harrison Joseph,baderha01
15,Anthony Banda,23.346,Jul 22,,/1,ARI,-0.3,6-2,221,L,L,Aug 10 1993,Corpus Christi TX US,Drafted by the Milwaukee Brewers in the 10th round of the 2012 amateur draft. Player signed June 15 2012.,San Jacinto College North Campus (Houston TX),Sinton HS (Sinton TX),Frank Anthony,bandaan01
16,Franklin Barreto,21.117,Jun 24,Sep 6 2020,64/HD,OAK,-1.1,5-9,208,R,R,Feb 27 1996,Caracas Distrito Federal VE,Signed by the Toronto Blue Jays as an amateur free agent in 2012.,,,Franklin Jose,barrefr02
17,Rafael Bautista,24.053,Apr 30,May 6 2018,9/H87,WSN,-0.4,6-2,194,R,R,Mar 8 1993,Santo Domingo Distrito Nacional DO,Signed by the Washington Nationals as an amateur free agent in 2012.,,,Rafael Darwing,bautira01
18,Chad Bell,28.071,May 10,May 3 2018,1,DET,-0.6,6-3,200,R,L,Feb 28 1989,Knoxville TN US,Drafted by the Texas Rangers in the 14th round of the 2009 amateur draft. Player signed August 13 2009.,Walters State Community College (Morristown TN),South Doyle HS (Knoxville TN),Chadwick Micah,bellch02
19,Cody Bellinger,21.286,Apr 25,,37/98HD,LAD,26.9,6-3,204,L,L,Jul 13 1995,Scottsdale AZ US,Drafted by the Los Angeles Dodgers in the 4th round of the 2013 amateur draft. Player signed June 13 2013.,,Hamilton HS (Chandler AZ),Cody James,bellico01
20,Austin Bibens-Dirkx,32.018,May 17,Sep 12 2018,1,TEX,0.8,6-1,210,R,R,Apr 29 1985,Salem OR US,Drafted by the Seattle Mariners in the 16th round of the 2006 amateur draft. Player signed June 8 2006.,University of Portland (Portland OR),McNary HS (Keizer OR),Austin Mitchell,bibenau01
21,Paul Blackburn,23.209,Jul 1,Aug 23 2024,1,OAK,3.0,6-1,196,R,R,Dec 4 1993,Antioch CA US,Drafted by the Chicago Cubs in the 1st round (56th pick) of the 2012 amateur draft. Player signed June 15 2012.,,Heritage HS (Brentwood CA),Paul Cady,blackpa01
22,Jorge Bonifacio,23.321,Apr 21,Aug 31 2021,9H/7D8,KCR,-0.1,6-0,220,R,R,Jun 4 1993,Santo Domingo Distrito Nacional DO,Signed by the Kansas City Royals as an amateur free agent in 2009.,,,Jorge Luis,bonifjo01
23,John Bormann,24.026,Apr 30,Apr 30 2017,/H,PIT,0.0,6-0,205,R,R,Apr 4 1993,Danville VA US,Drafted by the Pittsburgh Pirates in the 24th round of the 2015 amateur draft. Player signed June 17 2015.,University of Texas at San Antonio (San Antonio TX),Navarro HS (Seguin TX),John William,bormajo01
24,Christopher Bostick,24.045,May 8,Sep 30 2018,H/47,PIT,0.0,5-10,200,R,R,Mar 24 1993,Rochester NY US,Drafted by the Oakland Athletics in the 44th round of the 2011 amateur draft. Player signed July 28 2011.,,Aquinas Institute (Rochester NY),Christopher Michael,bostich01
25,Chasen Bradford,27.324,Jun 25,Jun 2 2019,1,NYM,0.9,6-1,225,R,R,Aug 5 1989,Las Vegas NV US,Drafted by the New York Mets in the 35th round of the 2011 amateur draft. Player signed June 11 2011.,University of Central Florida (Orlando FL),Silverado HS (Las Vegas NV),Chasen David,bradfch02
26,Michael Brady,30.091,Jun 20,Sep 30 2017,1,OAK,-0.2,6-0,195,R,R,Mar 21 1987,Laguna Beach CA US,Drafted by the Florida Marlins in the 24th round of the 2009 amateur draft. Player signed June 15 2009.,University of California Berkeley (Berkeley CA),Santa Margarita Catholic HS (Rancho Santa Margarita CA),Michael James,bradymi01
27,John Brebbia,26.363,May 28,,1,STL,3.2,6-1,205,L,R,May 30 1990,Boston MA US,Drafted by the New York Yankees in the 30th round of the 2011 amateur draft. Player signed August 13 2011.,Elon University (Elon NC),Wellington HS (Wellington FL),John Fulboam,brebbjo01
28,Lewis Brinson,23.034,Jun 11,Sep 20 2022,/87H,MIL,-3.8,6-5,212,R,R,May 8 1994,Fort Lauderdale FL US,Drafted by the Texas Rangers in the 1st round (29th pick) of the 2012 amateur draft. Player signed June 12 2012.,,Coral Springs HS (Coral Springs FL),Lewis Lamont,brinsle01
29,Jaycob Brugman,25.142,Jun 9,Aug 9 2017,8/H79,OAK,-0.4,6-0,190,L,L,Jan 18 1992,Chandler AZ US,Drafted by the Oakland Athletics in the 17th round of the 2013 amateur draft. Player signed June 12 2013.,Brigham Young University (Provo UT),Desert Vista HS (Phoenix AZ),Jaycob Hull,brugmja01
30,Walker Buehler,23.041,Sep 7,,/1,LAD,12.7,6-2,185,R,R,Jul 28 1994,Lexington KY US,Drafted by the Los Angeles Dodgers in the 1st round (24th pick) of the 2015 amateur draft. Player signed July 17 2015.,Vanderbilt University (Nashville TN),Henry Clay HS (Lexington KY),Walker Anthony,buehlwa01
31,Aaron Bummer,23.309,Jul 27,,1,CHW,3.7,6-3,215,L,L,Sep 21 1993,Valencia CA US,Drafted by the Chicago White Sox in the 19th round of the 2014 amateur draft. Player signed June 10 2014.,University of Nebraska-Lincoln (Lincoln NE),Sunrise Mountain HS (Peoria AZ),Aaron James,bummeaa01
32,Alan Busenitz,26.299,Jun 17,Sep 21 2024,1,MIN,-0.5,6-1,180,R,R,Aug 22 1990,Watkinsville GA US,Drafted by the Los Angeles Angels of Anaheim in the 25th round of the 2013 amateur draft. Player signed June 11 2011.,Kennesaw State University (Kennesaw GA),Athens Christian HS (Athens GA),Alan Paul,busenal01
33,Willie Calhoun,22.312,Sep 12,Aug 14 2024,7/DH,TEX,-2.1,5-8,205,L,R,Nov 4 1994,Vallejo CA US,Drafted by the Los Angeles Dodgers in the 4th round of the 2015 amateur draft. Player signed June 15 2015.,University of Arizona (Tucson AZ) Yavapai College (Prescott AZ),Benicia HS (Benicia CA),Willie Shawn Lamont,calhowi01
34,Jamie Callahan,23.009,Sep 2,Oct 1 2017,/1,NYM,0.0,6-2,230,R,R,Aug 24 1994,Florence SC US,Drafted by the Boston Red Sox in the 2nd round of the 2012 amateur draft. Player signed June 14 2012.,,Dillon HS (Dillon SC),James Douglas,callaja01
35,Johan Camargo,23.119,Apr 11,Aug 22 2023,56H/47,ATL,3.5,5-11,195,B,R,Dec 13 1993,Panama Panama PA,Signed by the Atlanta Braves as an amateur free agent in 2010.,,,Johan Valentin,camarjo01
36,Victor Caratini,23.315,Jun 28,,H2/379,CHC,3.9,6-0,225,B,R,Aug 17 1993,Ponce PR,Drafted by the Atlanta Braves in the 2nd round of the 2013 amateur draft. Player signed June 10 2013.,Miami Dade College Kendall Campus (Miami FL),Puerto Rico Baseball Academy (Gurabo Puerto Rico),Victor Manuel,caratvi01
37,Shane Carle,25.227,Apr 14,May 2 2019,/1,COL,0.7,6-4,210,R,R,Aug 30 1991,Santa Cruz CA US,Drafted by the Pittsburgh Pirates in the 10th round of the 2013 amateur draft. Player signed June 14 2013.,California State University Long Beach (Long Beach CA),Scotts Valley HS (Scotts Valley CA),Shane Taylor,carlesh01
38,Fabio Castillo,28.195,Sep 2,Sep 3 2017,/1,LAD,-0.1,6-1,235,R,R,Feb 19 1989,Samana Samana DO,Signed by the Texas Rangers as an amateur free agent in 2005.,,,Fabio,castifa01
39,Luis Castillo,24.193,Jun 23,,1,CIN,24.3,6-2,200,R,R,Dec 12 1992,Bani Peravia DO,Signed by the San Francisco Giants as an amateur free agent in 2011.,,,Luis Miguel,castilu02
40,Alejandro Chacín,24.060,Aug 23,Sep 20 2017,/1,CIN,-0.2,6-0,204,R,R,Jun 24 1993,Maracay Aragua VE,Signed by the Cincinnati Reds as an amateur free agent in 2010.,,,David Alejandro,chacial01
41,Matt Chapman,24.048,Jun 15,,5,OAK,39.8,6-1,225,R,R,Apr 28 1993,Victorville CA US,Drafted by the Oakland Athletics in the 1st round (25th pick) of the 2014 amateur draft. Player signed June 16 2014.,California State University Fullerton (Fullerton CA),El Toro HS (Lake Forest CA),Matt James,chapmma01
42,Taylor Cole,27.354,Aug 9,Sep 29 2019,/1,TOR,0.4,6-1,200,R,R,Aug 20 1989,Simi Valley CA US,Drafted by the Toronto Blue Jays in the 29th round of the 2011 amateur draft. Player signed June 8 2011.,Brigham Young University (Provo UT) College of Southern Nevada (Henderson NV),Bishop Gorman HS (Las Vegas NV),Taylor James,coleta01
43,Garrett Cooper,26.201,Jul 14,Jun 9 2024,3,NYY,3.7,6-4,235,R,R,Dec 25 1990,Torrance CA US,Drafted by the Milwaukee Brewers in the 6th round of the 2013 amateur draft. Player signed June 9 2013.,Auburn University (Auburn AL),,Garrett Nicholas,coopega03
44,Franchy Cordero,22.267,May 27,Jul 22 2023,8/H7,SDP,-0.7,6-3,225,L,R,Sep 2 1994,Azua Azua DO,Signed by the San Diego Padres as an amateur free agent in 2011.,,,Franchy,cordefr02
45,Allen Córdoba,21.118,Apr 3,Oct 1 2017,7H6/8594,SDP,-0.5,6-2,235,R,R,Dec 6 1995,Changuinola Bocas del Toro PA,Signed by the St. Louis Cardinals as an amateur free agent in 2013.,,,Allen Octavio,cordoal01
46,Dylan Covey,25.243,Apr 14,Sep 27 2023,1,CHW,-2.6,6-1,215,R,R,Aug 14 1991,Glendale CA US,Drafted by the Oakland Athletics in the 4th round of the 2013 amateur draft. Player signed June 10 2013.,University of San Diego (San Diego CA),Maranatha HS (Pasadena CA),Dylan Charles,coveydy01
47,J.P. Crawford,22.237,Sep 5,,5/64H,PHI,20.0,6-0,202,L,R,Jan 11 1995,Long Beach CA US,Drafted by the Philadelphia Phillies in the 1st round (16th pick) of the 2013 amateur draft. Player signed June 18 2013.,,Lakewood HS (Lakewood CA),John Paul,crawfjp01
48,Stefan Crichton,25.000,Apr 16,Aug 1 2021,/1,BAL,0.4,6-3,208,R,R,Feb 29 1992,Houston TX US,Drafted by the Baltimore Orioles in the 23rd round of the 2013 amateur draft. Player signed July 12 2013.,Texas Christian University (Fort Worth TX),Cinco Ranch HS (Katy TX),Stefan Brook,crichst01
49,Kyle Crick,24.204,Jun 22,Jun 13 2022,1,SFG,1.6,6-4,225,L,R,Nov 30 1992,Fort Worth TX US,Drafted by the San Francisco Giants in the 1st round (49th pick) of the 2011 amateur draft. Player signed July 5 2011.,,Sherman HS (Sherman TX),Kyle Daniel,crickky01
50,John Curtiss,24.142,Aug 25,Aug 1 2024,/1,MIN,0.5,6-5,220,R,R,Apr 5 1993,Dallas TX US,Drafted by the Minnesota Twins in the 6th round of the 2014 amateur draft. Player signed July 1 2014.,University of Texas at Austin (Austin TX),Carroll HS (Southlake TX),John Pickens,curtijo02
51,J.D. Davis,24.100,Aug 5,,5/H31,HOU,2.6,6-1,218,R,R,Apr 27 1993,Elk Grove CA US,Drafted by the Houston Astros in the 3rd round of the 2014 amateur draft. Player signed June 12 2014.,California State University Fullerton (Fullerton CA),Elk Grove HS (Elk Grove CA),Jonathan Gregory,davisjd01
52,Rookie Davis,23.342,Apr 6,Jun 7 2019,/1,CIN,-0.9,6-5,255,R,R,Apr 29 1993,Sneads Ferry NC US,Drafted by the New York Yankees in the 14th round of the 2011 amateur draft. Player signed August 15 2011.,,Dixon HS (Holly Ridge NC),William Theron,davisro03
53,Taylor Davis,27.284,Sep 8,Sep 27 2021,/H352,CHC,-0.1,5-10,200,R,R,Nov 28 1989,Tampa FL US,Signed by the Chicago Cubs as an amateur free agent in 2011.,Morehead State University (Morehead KY),Jupiter Community HS (Jupiter FL),Taylor Matthew,davista01
54,Chase De Jong,23.097,Apr 5,Jun 6 2023,/1,SEA,-0.1,6-4,230,L,R,Dec 29 1993,Long Beach CA US,Drafted by the Toronto Blue Jays in the 2nd round of the 2012 amateur draft. Player signed July 1 2012.,,Woodrow Wilson HS (Long Beach CA),Chase Louis,dejonch01
55,Paul DeJong,23.299,May 28,,64/H,STL,13.3,6-0,205,R,R,Aug 2 1993,Orlando FL US,Drafted by the St. Louis Cardinals in the 4th round of the 2015 amateur draft. Player signed June 13 2015.,Illinois State University (Normal IL),Antioch Community HS (Antioch IL),Paul Sterling,dejonpa01
56,Nicky Delmonico,25.020,Aug 1,Aug 2 2020,7D/3H,CHW,-0.2,6-3,230,L,R,Jul 12 1992,Knoxville TN US,Drafted by the Baltimore Orioles in the 6th round of the 2011 amateur draft. Player signed August 15 2011.,,Farragut HS (Knoxville TN),Nicholas John,delmoni01
