Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Juan Acevedo,24.360,Apr 30,Aug 5 2003,1,COL,2.7,6-2,245,R,R,May 5 1970,Ciudad Juarez Chihuahua MX,Drafted by the Colorado Rockies in the 14th round of the 1992 amateur draft. Player signed June 3 1992.,Parkland College (Champaign IL),Dundee-Crown HS (Carpentersville IL),Juan Carlos,aceveju01
2,Terry Adams,22.157,Aug 10,May 23 2005,1,CHC,4.1,6-3,180,R,R,Mar 6 1973,Mobile AL US,Drafted by the Chicago Cubs in the 4th round of the 1991 amateur draft. Player signed June 14 1991.,,Mary G. Montgomery HS (Semmes AL),Terry Wayne,adamste01
3,Pat Ahearne,25.186,Jun 14,Jun 30 1995,/1,DET,-0.4,6-3,195,R,R,Dec 10 1969,San Francisco CA US,Drafted by the Detroit Tigers in the 7th round of the 1992 amateur draft. Player signed June 17 1992.,Los Angeles Harbor College (Wilmington CA) Pepperdine University (Malibu CA),St. Bernard HS (Playa del Rey CA),Patrick Howard,ahearpa01
4,José Alberro,25.302,Apr 27,Aug 5 1997,1,TEX,-1.3,6-2,190,R,R,Jun 29 1969,San Juan PR,Signed by the Texas Rangers as an amateur free agent in 1991.,,San Juan (San Juan Puerto Rico),José Edgardo,alberjo01
5,Edgardo Alfonzo,21.169,Apr 26,Jun 11 2006,54H/6,NYM,28.8,5-11,210,R,R,Nov 8 1973,Santa Teresa del Tuy Miranda VE,Signed by the New York Mets as an amateur free agent in 1991.,,Cecilio Acosto (Caracas Venezuela),Edgardo Antonio,alfoned01
6,Tavo Álvarez,23.269,Aug 21,Sep 29 1996,/1,MON,-0.3,6-3,245,R,R,Nov 25 1971,Ciudad Obregon Sonora MX,Drafted by the Montreal Expos in the 2nd round of the 1990 amateur draft. Player signed June 19 1990.,,Tucson HS (Tucson AZ),Cesar Octavio,alvarta01
7,Shane Andrews,23.241,Apr 26,Sep 29 2002,53H,MON,2.0,6-1,215,R,R,Aug 28 1971,Dallas TX US,Drafted by the Montreal Expos in the 1st round (11th pick) of the 1990 amateur draft. Player signed June 5 1990.,,Carlsbad HS (Carlsbad NM),Darrell Shane,andresh01
8,Luis Andújar,22.290,Sep 8,Jun 28 1998,/1,CHW,-0.4,6-2,175,R,R,Nov 22 1972,Bani Peravia DO,Signed by the Chicago White Sox as an amateur free agent in 1990.,,Bani (Bani Dominican Republic),Luis,andujlu01
9,Rich Aurilia,24.004,Sep 6,Oct 4 2009,/6H,SFG,18.2,6-0,170,R,R,Sep 2 1971,Brooklyn NY US,Drafted by the Texas Rangers in the 24th round of the 1992 amateur draft. Player signed June 4 1992.,St. John's University (Queens NY),Xaverian HS (Brooklyn NY),Richard Santo,aurilri01
10,Roger Bailey,24.206,Apr 27,Sep 24 1997,1,COL,5.2,6-1,180,R,R,Oct 3 1970,Chattahoochee FL US,Drafted by the Colorado Rockies in the 3rd round of the 1992 amateur draft. Player signed June 10 1992.,Florida State University (Tallahassee FL),Chattahoochee HS (Chattahoochee FL),Charles Roger,bailero01
11,Scott Baker,25.060,Jul 17,Jul 17 1995,/1,OAK,-0.1,6-2,175,L,L,May 18 1970,San Jose CA US,Drafted by the St. Louis Cardinals in the 7th round of the 1990 amateur draft. Player signed June 7 1990.,Taft College (Taft CA),Basic HS (Henderson NV),Scott,bakersc01
12,James Baldwin,23.289,Apr 30,Sep 29 2005,/1,CHW,9.3,6-3,210,R,R,Jul 15 1971,Pinehurst NC US,Drafted by the Chicago White Sox in the 4th round of the 1990 amateur draft. Player signed June 6 1990.,,Pinecrest HS (Southern Pines NC),James,baldwja01
13,Brian Barber,22.161,Aug 12,Aug 1 1999,/1,STL,-0.6,6-1,175,R,R,Mar 4 1973,Hamilton OH US,Drafted by the St. Louis Cardinals in the 1st round (22nd pick) of the 1991 amateur draft. Player signed June 10 1991.,,Dr. Phillips HS (Orlando FL),Brian Scott,barbebr02
14,Brian Bark,26.314,Jul 6,Sep 8 1995,/1,BOS,0.1,5-9,170,L,L,Aug 26 1968,Baltimore MD US,Drafted by the Atlanta Braves in the 12th round of the 1990 amateur draft.,North Carolina State University (Raleigh NC),Randallstown HS (Randallstown MD),Brian Stuart,barkbr01
15,Jeff Barry,25.260,Jun 9,Oct 3 1999,H/79,NYM,-1.2,6-1,190,B,R,Sep 22 1969,Medford OR US,Drafted by the Montreal Expos in the 4th round of the 1990 amateur draft. Player signed June 5 1990.,San Diego State University (San Diego CA),South Medford HS (Medford OR),Jeffrey Finas,barryje01
16,Jason Bates,24.111,Apr 26,Sep 27 1998,465H,COL,-2.6,5-11,170,B,R,Jan 5 1971,Downey CA US,Drafted by the Colorado Rockies in the 7th round of the 1992 amateur draft. Player signed June 7 1992.,Cypress College (Cypress CA) University of Arizona (Tucson AZ),Esperanza HS (Anaheim CA),Jason Charles,batesja01
17,Allen Battle,26.148,Apr 26,Aug 14 1996,H79/8,STL,-0.6,6-0,170,R,R,Nov 29 1968,Grantham NC US,Drafted by the St. Louis Cardinals in the 10th round of the 1991 amateur draft. Player signed June 25 1991.,University of South Alabama (Mobile AL),Southern Wayne HS (Dudley NC),Allen Zelmo,battlal01
18,Howard Battle,23.164,Sep 5,Oct 3 1999,/5HD,TOR,0.1,6-0,210,R,R,Mar 25 1972,Biloxi MS US,Drafted by the Toronto Blue Jays in the 4th round of the 1990 amateur draft. Player signed June 6 1990.,,Mercy Cross HS (Ocean Springs MS),Howard Dion,battlho01
19,David Bell,22.231,May 3,Oct 1 2006,/5H,CLE,15.2,5-10,170,R,R,Sep 14 1972,Cincinnati OH US,Drafted by the Cleveland Indians in the 7th round of the 1990 amateur draft. Player signed June 12 1990.,,Archbishop Moeller HS (Cincinnati OH),David Michael,bellda01
20,Marvin Benard,24.228,Sep 5,Sep 27 2003,/8H,SFG,8.6,5-10,180,L,L,Jan 20 1971,Bluefields Atlantico Sur NI,Drafted by the San Francisco Giants in the 50th round of the 1992 amateur draft. Player signed June 4 1992.,Los Angeles Harbor College (Wilmington CA) Lewis-Clark State College (Lewiston ID),Bell HS (Bell CA),Marvin Larry,benarma01
21,Alan Benes,23.241,Sep 19,May 28 2003,/1,STL,1.3,6-5,215,R,R,Jan 21 1972,Evansville IN US,Drafted by the St. Louis Cardinals in the 1st round (16th pick) of the 1993 amateur draft. Player signed July 19 1993.,Creighton University (Omaha NE),Lake Forest HS (Lake Forest IL),Alan Paul,benesal01
22,Yamil Benítez,22.345,Sep 15,Sep 27 1998,/987H,MON,-0.6,6-2,195,R,R,Oct 5 1972,San Juan PR,Signed by the Montreal Expos as an amateur free agent in 1989.,,San Juan (San Juan Puerto Rico),Yamil Antonio,benitya01
23,Erik Bennett,26.244,May 15,Jun 8 1996,/1,CAL,-0.6,6-2,205,R,R,Sep 13 1968,Yreka CA US,Drafted by the California Angels in the 4th round of the 1989 amateur draft. Player signed June 12 1989.,California State University Sacramento (Sacramento CA),Yreka Union HS (Yreka CA),Erik Hans,benneer01
24,Gary Bennett,23.160,Sep 24,May 18 2008,/H,PHI,-3.1,6-0,190,R,R,Apr 17 1972,Waukegan IL US,Drafted by the Philadelphia Phillies in the 11th round of the 1990 amateur draft. Player signed June 12 1990.,,East HS (Waukegon IL) Waukegan East HS (Waukegan IL),Gary David,bennega01
