Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Luisangel Acuña,22.186,Sep 14,,6/DH4,NYM,0.9,5-8,181,R,R,Mar 12 2002,Caracas Distrito Federal VE,Signed as a Free Agent with the Texas Rangers in 2018.,,,Luisangel Jose,acunajo01
2,Julian Aguiar,23.076,Aug 19,Sep 19 2024,/1,CIN,-0.1,6-3,180,L,R,Jun 4 2001,Long Beach CA US,Drafted by the Cincinnati Reds in the 12th round of the 2021 amateur draft. Player signed August 6 2021.,Cypress College (Cypress CA),Millikan HS (Long Beach CA),Julian,aguiaju01
3,Kevin Alcántara,22.075,Sep 25,Sep 29 2024,/9,CHC,-0.2,6-6,188,R,R,Jul 12 2002,Santo Domingo Distrito Nacional DO,Signed as a Free Agent with the New York Yankees in 2018.,,,Kevin,alcanke01
4,Sam Aldegheri,22.346,Aug 30,Sep 13 2024,/1,LAA,-0.3,6-1,210,L,L,Sep 19 2001,Verona Veneto IT,Signed as a Free Agent with the Philadelphia Phillies in 2019.,,,Samuel,aldegsa01
5,Blaze Alexander,24.291,Mar 28,Aug 18 2024,64D/H5,ARI,0.0,6-0,160,R,R,Jun 11 1999,Cape Coral FL US,Drafted by the Arizona Diamondbacks in the 11th round of the 2018 amateur draft. Player signed June 10 2018.,,IMG Academy (Bradenton FL),Blaze Chanee,alexabl01
6,CJ Alexander,27.343,Jun 24,,/5DH,KCR,-0.1,6-4,215,L,R,Jul 17 1996,Merrillville IN US,Drafted by the Atlanta Braves in the 20th round of the 2018 amateur draft. Player signed June 18 2018.,Ball State University (Muncie IN) State College of Florida Manatee-Sarasota (Bradenton FL),,Charles Joseph Wesley,alexacj01
7,Armando Alvarez,29.344,Jun 22,Sep 12 2024,/53H74,OAK,-0.4,6-0,189,R,R,Jul 14 1994,Miami FL US,Drafted by the New York Yankees in the 17th round of the 2016 amateur draft. Player signed June 17 2016.,Eastern Kentucky University (Richmond KY) Florida International University (Miami FL),,Armando Francisco,alvarar01
8,Nacho Alvarez Jr.,21.102,Jul 22,Jul 30 2024,/45,ATL,-0.5,5-10,190,R,R,Apr 11 2003,Fontana CA US,Drafted by the Atlanta Braves in the 5th round of the 2022 amateur draft. Player signed July 30 2022.,Riverside City College (Riverside CA),,Ignacio,alvarna01
9,Adael Amador,21.059,Jun 9,,4,COL,-1.5,5-11,200,B,R,Apr 11 2003,Santo Domingo Distrito Nacional DO,Signed as a Free Agent with the Colorado Rockies in 2019.,,,Adael Alexander,amadoad01
10,Spencer Arrighetti,24.099,Apr 10,,1,HOU,0.4,6-2,186,R,R,Jan 2 2000,Albuquerque NM US,Drafted by the Houston Astros in the 6th round of the 2021 amateur draft. Player signed July 15 2021.,Navarro College (Corsicana TX) Texas Christian University (Fort Worth TX) University of Louisiana at Lafayette (Lafayette LA),Cinco Ranch HS (Katy TX),Spencer Zane,arrigsp01
11,Nick Avila,26.251,Apr 1,May 24 2024,/1,SFG,-0.3,6-4,195,R,R,Jul 25 1997,Modesto CA US,Drafted by the San Francisco Giants in the 26th round of the 2019 amateur draft. Player signed June 11 2019.,California State University Long Beach (Long Beach CA) San Joaquin Delta College (Stockton CA),Turlock HS (Turlock CA),Nicholas Paul,avilani01
12,Lake Bachar,29.097,Sep 8,,1,MIA,0.3,6-2,219,R,R,Jun 3 1995,Winfield IL US,Drafted by the San Diego Padres in the 5th round of the 2016 amateur draft. Player signed June 14 2016.,University of Wisconsin-Whitewater (Whitewater WI),Wheaton North HS (Wheaton IL),Lake David,bachala01
13,Darren Baker,25.203,Sep 1,Sep 29 2024,/H4D7,WSN,0.0,5-10,167,L,R,Feb 11 1999,Redwood City CA US,Drafted by the Washington Nationals in the 10th round of the 2021 amateur draft. Player signed August 16 2021.,University of California Berkeley (Berkeley CA),Jesuit HS (Carmichael CA),Darren John,bakerda02
14,Brooks Baldwin,23.339,Jul 19,,4/6,CHW,-1.1,6-1,195,B,R,Aug 15 2000,Whiteville NC US,Drafted by the Chicago White Sox in the 12th round of the 2022 amateur draft. Player signed July 31 2022.,University of North Carolina at Wilmington (Wilmington NC),Whiteville HS (Whiteville NC),Riley Brooks,baldwbr01
15,David Bañuelos,27.198,Apr 16,Apr 16 2024,/H,BAL,0.0,5-10,205,R,R,Oct 1 1996,Ontario CA US,Drafted by the Seattle Mariners in the 5th round of the 2017 amateur draft. Player signed June 18 2017.,California State University Long Beach (Long Beach CA),,David Clemente,banueda01
16,Addison Barger,24.164,Apr 24,,59H7/D,TOR,1.1,6-0,210,L,R,Nov 12 1999,Bellevue WA US,Drafted by the Toronto Blue Jays in the 6th round of the 2018 amateur draft. Player signed June 12 2018.,,C. Leon King HS (Tampa FL),Addison,bargead01
