Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Jeff Abbott,24.297,Jun 10,Sep 29 2001,/H79D8,CHW,-1.4,6-2,190,R,L,Aug 17 1972,Atlanta GA US,Drafted by the Chicago White Sox in the 4th round of the 1994 amateur draft. Player signed June 5 1994.,University of Kentucky (Lexington KY),Dunwoody HS (Dunwoody GA),Jeffrey William,abbotje01
2,Antonio Alfonseca,25.062,Jun 17,Sep 23 2007,1,FLA,3.6,6-5,250,R,R,Apr 16 1972,La Romana La Romana DO,Signed by the Montreal Expos as an amateur free agent in 1989.,,La Romana (La Romana Dominican Republic),Antonio,alfonan01
3,Carlos Almánzar,23.302,Sep 4,Apr 30 2005,/1,TOR,1.6,6-2,166,R,R,Nov 6 1973,Santiago Santiago DO,Signed by the Toronto Blue Jays as an amateur free agent in 1990.,,Santo Domingo (Santo Domingo Dominican Republic),Carlos Manuel,almanca01
4,Bruce Aven,25.176,Aug 27,May 27 2002,7/H98,CLE,1.6,5-9,180,R,R,Mar 4 1972,Orange TX US,Drafted by the Cleveland Indians in the 30th round of the 1994 amateur draft. Player signed June 4 1994.,Lamar University (Beaumont TX),West Orange-Stark HS (Orange TX),David Bruce,avenbr01
5,Manny Aybar,25.092,Aug 4,Jun 10 2005,1,STL,-1.2,6-1,165,R,R,May 4 1972,Bani Peravia DO,Signed by the St. Louis Cardinals as an amateur free agent in 1991.,,Bani (Bani Dominican Republic),Manuel Antonio,aybarma01
6,Manuel Barrios,22.360,Sep 16,Jul 3 1998,/1,HOU,-0.1,6-0,170,R,R,Sep 21 1974,Cabecera Chiriqui PA,Signed by the Houston Astros as an amateur free agent in 1993.,,Cabecera (Cabecera Panama),Manuel Antonio,barrima01
7,Mark Bellhorn,22.291,Jun 10,Sep 30 2007,54H/D6,OAK,8.0,6-1,195,B,R,Aug 23 1974,South Weymouth MA US,Drafted by the Oakland Athletics in the 2nd round of the 1995 amateur draft. Player signed June 24 1995.,Auburn University (Auburn AL),Oviedo HS (Oviedo FL),Mark Christian,bellhma01
8,Rigo Beltrán,27.201,Jun 2,Apr 28 2004,1,STL,0.5,5-11,185,L,L,Nov 13 1969,Tijuana Baja California MX,Drafted by the St. Louis Cardinals in the 26th round of the 1991 amateur draft. Player signed June 9 1991.,University of Wyoming (Laramie WY),Point Loma HS (San Diego CA),Rigoberto,beltrri01
9,Shayne Bennett,25.134,Aug 22,Aug 15 1999,1,MON,-1.5,6-5,200,R,R,Apr 10 1972,Adelaide South Australia AU,Drafted by the Boston Red Sox in the 25th round of the 1993 amateur draft. Player signed June 5 1993.,College of DuPage (Glen Ellyn IL) Parkland College (Champaign IL),,Shayne Anthony,bennesh01
10,Jeff Berblinger,26.292,Sep 7,Sep 27 1997,/4H,STL,-0.2,6-0,190,R,R,Nov 19 1970,Wichita KS US,Drafted by the St. Louis Cardinals in the 7th round of the 1993 amateur draft. Player signed June 24 1993.,University of Kansas (Lawrence KS),Goddard HS (Goddard KS),Jeffrey James,berblje01
11,Steve Bieser,29.240,Apr 1,Jul 28 1998,H8/729,NYM,-0.1,5-10,170,L,R,Aug 4 1967,Perryville MO US,Drafted by the Philadelphia Phillies in the 32nd round of the 1989 amateur draft. Player signed June 12 1989.,Jefferson College (Hillsboro MO) Southeast Missouri State University (Cape Girardeau MO),Ste. Genevieve HS (Ste. Genevieve MO),Steven Ray,biesest01
12,Henry Blanco,25.330,Jul 25,Sep 23 2013,/H35,LAD,-0.1,5-11,220,R,R,Aug 29 1971,Caracas Distrito Federal VE,Signed by the Los Angeles Dodgers as an amateur free agent in 1989.,,Antonio Jose de Sucre (Caracas Venezuela),Henry Ramon,blanche01
13,Aaron Boone,24.103,Jun 20,Oct 4 2009,5/H4,CIN,13.6,6-2,190,R,R,Mar 9 1973,La Mesa CA US,Drafted by the Cincinnati Reds in the 3rd round of the 1994 amateur draft. Player signed June 7 1994.,University of Southern California (Los Angeles CA),Villa Park HS (Villa Park CA),Aaron John,booneaa01
