Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Bobby Abreu,22.174,Sep 1,Sep 28 2014,/H79,HOU,60.2,6-0,220,L,R,Mar 11 1974,Maracay Aragua VE,Signed by the Houston Astros as an amateur free agent in 1990.,,Aragua (Aragua Venezuela),Bob Kelly,abreubo01
2,Willie Adams,23.247,Jun 11,Aug 14 1997,1,OAK,0.9,6-7,215,R,R,Oct 8 1972,Gallup NM US,Drafted by the Oakland Athletics in the 1st round (36th pick) of the 1993 amateur draft. Player signed July 21 1993.,Stanford University (Palo Alto CA),La Serna HS (Whittier CA),William Edward,adamswi02
3,Joel Adamson,24.283,Apr 10,Apr 26 1998,/1,FLA,0.2,6-4,185,L,L,Jul 2 1971,Lakewood CA US,Drafted by the Philadelphia Phillies in the 7th round of the 1990 amateur draft. Player signed June 26 1990.,Cerritos College (Norwalk CA),Artesia HS (Lakewood CA),Joel Lee,adamsjo02
4,Jermaine Allensworth,24.194,Jul 23,May 29 1999,8/H,PIT,-0.1,6-0,178,R,R,Jan 11 1972,Anderson IN US,Drafted by the Pittsburgh Pirates in the 1st round (34th pick) of the 1993 amateur draft. Player signed June 10 1993.,Purdue University (West Lafayette IN),Madison Heights HS (Anderson IN),Jermaine LaMont,allenje01
5,Garvin Alston,24.181,Jun 6,Jun 18 1996,/1,COL,-0.1,6-2,185,R,R,Dec 8 1971,Mount Vernon NY US,Drafted by the Colorado Rockies in the 10th round of the 1992 amateur draft. Player signed June 9 1992.,Mercy University (Dobbs Ferry NY) Florida International University (Miami FL),Mount Vernon HS (Mount Vernon NY),Garvin James,alstoga01
6,George Arias,24.021,Apr 2,Jul 28 1999,5/HD,CAL,0.0,5-11,190,R,R,Mar 12 1972,Tucson AZ US,Drafted by the California Angels in the 7th round of the 1993 amateur draft. Player signed June 12 1993.,Pima Community College (Tucson AZ) University of Arizona (Tucson AZ),Pueblo HS (Tucson AZ),George Alberto,ariasge01
7,Derek Aucoin,26.055,May 21,May 25 1996,/1,MON,0.1,6-7,235,R,R,Mar 27 1970,Lachine QC CA,Signed by the Montreal Expos as an amateur free agent in 1989.,,College Saint-Sacrement (Terrebonne QC),Derek Alfred,aucoide01
8,Joe Ayrault,24.329,Sep 1,Sep 29 1996,/2,ATL,0.0,6-3,190,R,R,Oct 8 1971,Rochester MI US,Drafted by the Atlanta Braves in the 5th round of the 1990 amateur draft. Player signed June 11 1990.,,Sarasota HS (Sarasota FL),Joseph Allen,ayraujo01
9,Brian Banks,25.347,Sep 9,Sep 28 2003,/73H,MIL,-1.2,6-3,200,B,R,Sep 28 1970,Mesa AZ US,Drafted by the Milwaukee Brewers in the 2nd round of the 1993 amateur draft. Player signed June 29 1993.,Brigham Young University (Provo UT),Mountain View HS (Mesa AZ),Brian Glen,banksbr01
10,Tony Barron,29.290,Jun 2,Sep 28 1997,/H,MON,1.8,6-0,185,R,R,Aug 17 1966,Portland OR US,Drafted by the Los Angeles Dodgers in the 7th round of the 1987 amateur draft. Player signed June 3 1987.,Green River Community College (Auburn WA) Willamette University (Salem OR),Spanaway Lake HS (Spanaway WA),Anthony Dirk,barroto01
