Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,José Abreu,27.061,Mar 31,Jun 12 2024,*3D/H,CHW,29.5,6-3,250,R,R,Jan 29 1987,Cienfuegos Cienfuegos CU,Signed by the Chicago White Sox as an amateur free agent in 2013.,,,José Dariel,abreujo02
2,A.J. Achter,26.007,Sep 3,Oct 1 2016,/1,MIN,0.3,6-5,215,R,R,Aug 27 1988,Toledo OH US,Drafted by the Minnesota Twins in the 46th round of the 2010 amateur draft. Player signed August 16 2010.,Michigan State University (East Lansing MI),Clay HS (Oregon OH),Adam Joseph,achteaj01
3,Cristhian Adames,23.003,Jul 29,Sep 29 2019,/64H,COL,-1.1,5-11,217,B,R,Jul 26 1991,Santo Domingo Distrito Nacional DO,Signed by the Colorado Rockies as an amateur free agent in 2007.,,,Cristhian Pascual,adamecr01
4,Austin Adams,27.327,Jul 12,Jul 6 2019,/1,CLE,-0.6,5-11,205,R,R,Aug 19 1986,Montgomery AL US,Drafted by the Cleveland Indians in the 5th round of the 2009 amateur draft. Player signed June 16 2009.,Faulkner State College (Bay Minette AL) Faulkner University (Montgomery AL),Stanhope Elmore HS (Millbrook AL),Austin David,adamsau01
5,Lane Adams,24.292,Sep 1,Sep 30 2018,/H8D7,KCR,0.6,6-4,190,R,R,Nov 13 1989,Talihina OK US,Drafted by the Kansas City Royals in the 13th round of the 2009 amateur draft. Player signed July 9 2009.,,Red Oak HS (Red Oak OK),Lane Weston,adamsla01
6,Jesús Aguilar,23.319,May 15,May 27 2023,3/DH5,CLE,3.0,6-3,277,R,R,Jun 30 1990,Maracay Aragua VE,Signed by the Cleveland Indians as an amateur free agent in 2007.,,,Jesús Alexander,aguilje01
7,Nick Ahmed,24.106,Jun 29,,6/H4,ARI,11.2,6-1,201,R,R,Mar 15 1990,East Longmeadow MA US,Drafted by the Atlanta Braves in the 2nd round of the 2011 amateur draft. Player signed June 16 2011.,University of Connecticut (Storrs CT),East Longmeadow HS (East Longmeadow MA),Nicholas Mark,ahmedni01
8,Arismendy Alcántara,22.253,Jul 9,Aug 9 2017,84/H,CHC,-0.7,5-10,170,B,R,Oct 29 1991,Santo Domingo Distrito Nacional DO,Signed by the Chicago Cubs as an amateur free agent in 2008.,,,Arismendy,alcanar01
9,Aaron Altherr,23.153,Jun 16,Aug 23 2019,/7H,PHI,1.9,6-5,215,R,R,Jan 14 1991,Landstuhl Rhineland-Palatinate DE,Drafted by the Philadelphia Phillies in the 9th round of the 2009 amateur draft. Player signed July 1 2009.,,Agua Fria HS (Avondale AZ),Aaron Samuel,altheaa01
10,Dario Álvarez,25.229,Sep 3,Jun 28 2017,/1,NYM,-0.2,6-1,170,L,L,Jan 17 1989,Santiago Santiago DO,Signed by the Philadelphia Phillies as an amateur free agent in 2007.,,Liceo Herminia Perez (Dominican Republic),Dario Rafael,alvarda01
11,R.J. Alvarez,23.087,Sep 3,Aug 16 2022,1,SDP,-0.8,6-1,238,R,R,Jun 8 1991,West Palm Beach FL US,Drafted by the Los Angeles Angels of Anaheim in the 3rd round of the 2012 amateur draft. Player signed June 8 2012.,Florida Atlantic University (Boca Raton FL),Cardinal Newman HS (West Palm Beach FL),Roy Emilio,alvarrj01
12,Chase Anderson,26.162,May 11,Sep 11 2024,1/H,ARI,7.2,6-1,210,R,R,Nov 30 1987,Wichita Falls TX US,Drafted by the Arizona Diamondbacks in the 9th round of the 2009 amateur draft. Player signed June 11 2009.,North Central Texas College (Gainesville TX) University of Oklahoma (Norman OK),S. H. Rider HS (Wichita Falls TX),Robert Chase,anderch01
13,Dean Anna,27.131,Apr 4,Apr 23 2015,/641,NYY,0.1,5-11,180,L,R,Nov 24 1986,Glenwood IL US,Drafted by the San Diego Padres in the 26th round of the 2008 amateur draft. Player signed June 15 2008.,Ball State University (Muncie IN),Lincoln-Way East HS (Frankfort IL),Dean William,annade01
14,Erisbel Arruebarrena,24.059,May 23,Sep 28 2014,6/H,LAD,-0.4,6-1,230,R,R,Mar 25 1990,Cienfuegos Cienfuegos CU,Signed by the Los Angeles Dodgers as an amateur free agent in 2014.,,,Bárbaro Erisbel,arrueba01
15,Javier Báez,21.247,Aug 5,,64,CHC,27.1,5-11,190,R,R,Dec 1 1992,Bayamon PR,Drafted by the Chicago Cubs in the 1st round (9th pick) of the 2011 amateur draft. Player signed August 15 2011.,,Arlington Country Day School (Jacksonville FL),Ednel Javier,baezja01
16,Pedro Báez,26.055,May 5,Apr 19 2022,1,LAD,3.5,6-0,232,R,R,Mar 11 1988,Bani Peravia DO,Signed by the Los Angeles Dodgers as an amateur free agent in 2007.,,,Pedro Alberys,baezpe01
17,Matt Barnes,24.084,Sep 9,May 2 2024,/1,BOS,4.1,6-4,208,R,R,Jun 17 1990,Danbury CT US,Drafted by the Boston Red Sox in the 1st round (19th pick) of the 2011 amateur draft. Player signed August 15 2011.,University of Connecticut (Storrs CT),Bethel HS (Bethel CT),Matthew David,barnema01
18,Tucker Barnhart,23.086,Apr 3,,2/H,CIN,6.8,5-8,192,L,R,Jan 7 1991,Indianapolis IN US,Drafted by the Cincinnati Reds in the 10th round of the 2009 amateur draft. Player signed August 4 2009.,,Brownsburg HS (Brownsburg IN),Tucker Jackson,barnhtu01
19,Aaron Barrett,26.088,Mar 31,Sep 18 2020,1,WSN,0.2,6-3,230,R,R,Jan 2 1988,Evansville IN US,Drafted by the Washington Nationals in the 9th round of the 2010 amateur draft. Player signed June 14 2010.,University of Mississippi (Oxford MS) Wabash Valley College (Mount Carmel IL),Central HS (Evansville IN),Aaron James,barreaa01
20,Chris Bassitt,25.189,Aug 30,,/1,CHW,17.1,6-5,217,R,R,Feb 22 1989,Toledo OH US,Drafted by the Chicago White Sox in the 16th round of the 2011 amateur draft. Player signed June 9 2011.,University of Akron (Akron OH),Genoa Area HS (Clay OH),Christopher Michael,bassich01
21,Cam Bedrosian,22.244,Jun 3,Oct 3 2021,1,LAA,1.7,6-1,225,R,R,Oct 2 1991,Senoia GA US,Drafted by the Los Angeles Angels of Anaheim in the 1st round (29th pick) of the 2010 amateur draft. Player signed July 2 2010.,,East Coweta HS (Sharpsburg GA),Cameron Rock,bedroca01
22,Dallas Beeler,25.016,Jun 28,Jul 28 2015,/1,CHC,-0.4,6-5,225,R,R,Jun 12 1989,Tulsa OK US,Drafted by the Chicago Cubs in the 41st round of the 2010 amateur draft. Player signed July 8 2010.,Oral Roberts University (Tulsa OK),Jenks HS (Jenks OK),Dallas James,beeleda01
23,Vince Belnome,26.114,Jul 3,Aug 19 2014,/D,TBR,-0.1,5-11,205,L,R,Mar 11 1988,Coatesville PA US,Drafted by the San Diego Padres in the 28th round of the 2009 amateur draft. Player signed June 15 2009.,West Virginia University (Morgantown WV),Coatesville HS (Coatesville PA),Vincent Michael,belnovi01
