Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Andrew Abbott,24.004,Jun 5,,1,CIN,7.9,6-0,192,L,L,Jun 1 1999,Lynchburg VA US,Drafted by the Cincinnati Reds in the 2nd round of the 2021 amateur draft.,University of Virginia (Charlottesville VA),Halifax County HS (South Boston VA),Andrew Cole,abbotan01
2,Wilyer Abreu,24.059,Aug 22,,87/H9D,BOS,6.0,5-10,215,L,L,Jun 24 1999,Maracaibo Zulia VE,Signed as a Free Agent with the Houston Astros in 2017.,,,Wilyer David,abreuwi02
3,Garrett Acton,24.333,May 14,May 28 2023,/1,OAK,-0.4,6-2,215,L,R,Jun 15 1998,Naperville IL US,Signed as a Free Agent with the Oakland Athletics in 2020.,Parkland College (Champaign IL) St. Louis University (St. Louis MO) University of Illinois at Urbana-Champaign (Champaign IL),Lemont Township HS (Lemont IL),Garrett Patrick,actonga01
4,Jordyn Adams,23.288,Aug 2,Sep 26 2024,/98H7,LAA,-0.9,6-1,181,R,R,Oct 18 1999,Gulfport MS US,Drafted by the Los Angeles Angels in the 1st round (17th pick) of the 2018 amateur draft. Player signed June 30 2018.,,Green Hope HS (Cary NC),Jordyn Bradley,adamsjo03
5,Ty Adcock,26.125,Jun 12,,1,SEA,-0.3,6-0,213,R,R,Feb 7 1997,Oxford NC US,Drafted by the Seattle Mariners in the 8th round of the 2019 amateur draft. Player signed June 9 2019.,Elon University (Elon NC),,Tyler Nathan McKenzie,adcocty01
6,Logan Allen,24.230,Apr 23,,1,CLE,0.7,6-0,190,R,L,Sep 5 1998,Altamonte Springs FL US,Drafted by the Cleveland Indians in the 2nd round of the 2020 amateur draft. Player signed June 26 2020.,Florida International University (Miami FL),University HS (Orange City FL),Logan Taylor,allenlo02
7,Jake Alu,26.033,May 9,Oct 1 2023,74/5H,WSN,-0.1,5-10,195,L,R,Apr 6 1997,Hamilton NJ US,Drafted by the Washington Nationals in the 24th round of the 2019 amateur draft. Player signed June 10 2019.,Boston College (Chestnut Hill MA),Princeton Day School (Princeton NJ),Jacob Philip,aluja01
8,Jacob Amaya,24.288,Jun 18,,/64,MIA,-1.1,5-10,180,R,R,Sep 3 1998,El Monte CA US,Drafted by the Los Angeles Dodgers in the 11th round of the 2017 amateur draft. Player signed July 6 2017.,,South Hills HS (West Covina CA),Jacob Carlos,amayaja01
9,Miguel Amaya,24.056,May 4,,2/DH,CHC,3.2,6-1,230,R,R,Mar 9 1999,Chitre Herrera PA,Signed as a Free Agent with the Chicago Cubs in 2015.,,,Miguel Antonio,amayami01
10,Grant Anderson,25.343,May 30,,1,TEX,-1.2,6-0,204,R,R,Jun 21 1997,Port Arthur TX US,Drafted by the Seattle Mariners in the 21st round of the 2018 amateur draft. Player signed June 10 2018.,McNeese State University (Lake Charles LA),,Grant Reed,andergr01
