Rk,Name,Age,Debut,Last Game,Pos,Tm,WAR,Ht,Wt,B,T,Birthdate,Birthplace,Draft/Signing,Schools,High School,Given Name,Name-additional
1,Alfredo Aceves,25.267,Aug 31,Jun 2 2014,/1,NYY,4.2,6-2,205,R,R,Dec 8 1982,San Luis Rio Colorado Sonora MX,Signed by the Toronto Blue Jays as an amateur free agent in 2001.,,,Alfredo,aceveal01
2,Nick Adenhart,21.251,May 1,Apr 8 2009,/1,LAA,0.0,6-3,185,R,R,Aug 24 1986,Silver Spring MD US,Drafted by the Anaheim Angels in the 14th round of the 2004 amateur draft. Player signed July 28 2004.,,Williamsport HS (Williamsport MD),Nicholas James,adenhni01
3,Matt Antonelli,23.146,Sep 1,Sep 28 2008,4/H,SDP,-0.3,6-1,195,R,R,Apr 8 1985,Peabody MA US,Drafted by the San Diego Padres in the 1st round (17th pick) of the 2006 amateur draft. Player signed June 11 2006.,Wake Forest University (Winston-Salem NC),St. John's Preparatory School (Danvers MA),Matthew Antonio,antonma01
4,José Arredondo,24.063,May 14,Oct 3 2012,1,LAA,2.6,6-0,190,R,R,Mar 12 1984,San Pedro de Macoris San Pedro de Macoris DO,Signed by the Anaheim Angels as an amateur free agent in 2002.,,Ava Josefa Puello (Dominican Republic),José Juan,arredjo01
5,Michael Aubrey,26.032,May 17,Oct 4 2009,3/HD,CLE,0.2,6-0,190,L,L,Apr 15 1982,Shreveport LA US,Drafted by the Cleveland Indians in the 1st round (11th pick) of the 2003 amateur draft. Player signed June 14 2003.,Tulane University (New Orleans LA),Southwood HS (Shreveport LA),Robert Michael,aubremi01
6,Mike Aviles,27.077,May 29,Oct 1 2017,64/5,KCR,5.9,5-10,205,R,R,Mar 13 1981,New York NY US,Drafted by the Kansas City Royals in the 7th round of the 2003 amateur draft. Player signed June 12 2003.,Concordia College (Bronxville NY),Middletown HS (Middletown NY),Michael Anthony,avilemi01
7,Burke Badenhop,25.061,Apr 9,Oct 3 2015,1,FLA,3.9,6-5,205,R,R,Feb 8 1983,Atlanta GA US,Drafted by the Detroit Tigers in the 19th round of the 2005 amateur draft. Player signed June 13 2005.,Bowling Green State University (Bowling Green OH),Perrysburg HS (Perrysburg OH),Burke Heinrich,badenbu01
8,Jeff Baisley,25.265,Sep 9,Sep 28 2008,5/3,OAK,-0.3,6-3,225,R,R,Dec 19 1982,Tampa FL US,Drafted by the Oakland Athletics in the 12th round of the 2005 amateur draft. Player signed June 13 2005.,University of South Florida (Tampa FL),Land O'Lakes HS (Land O'Lakes FL),Jeffrey Scot,baislje01
9,John Baker,27.171,Jul 9,Sep 28 2014,2/H,FLA,0.7,6-1,215,L,R,Jan 20 1981,Alameda CA US,Drafted by the Oakland Athletics in the 4th round of the 2002 amateur draft. Player signed June 28 2002.,University of California Berkeley (Berkeley CA),De La Salle HS (Concord CA),John David,bakerjo01
10,Collin Balester,22.025,Jul 1,Oct 2 2015,1,WSN,-1.1,6-4,190,R,R,Jun 6 1986,Huntington Beach CA US,Drafted by the Montreal Expos in the 4th round of the 2004 amateur draft. Player signed July 19 2004.,,Huntington Beach HS (Huntington Beach CA),Collin Thomas,balesco01
11,Wes Bankston,24.222,Jul 2,Jul 30 2008,3/D,OAK,-0.5,6-4,215,R,R,Nov 23 1983,Dallas TX US,Drafted by the Tampa Bay Devil Rays in the 4th round of the 2002 amateur draft. Player signed June 17 2002.,,Plano East HS (Plano TX),Wesley Wade,bankswe01
